Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,10,1,     4.6,     3.6,     4.4,     4.4,    26.6,    32.4,    23.8,     3.2,    23.3
Pulau Ubin,2022,10,2,     6.8,     2.6,     5.0,     6.2,    26.6,    32.6,    23.7,     3.6,    20.9
Pulau Ubin,2022,10,3,    71.4,    42.2,    54.0,    70.8,    25.7,    31.8,    22.9,     2.7,    20.9
Pulau Ubin,2022,10,4,     1.4,     1.0,     1.0,     1.0,    26.2,    30.4,    24.2,     2.8,    16.9
Pulau Ubin,2022,10,5,    38.8,    26.0,    32.8,    36.8,    26.0,    28.9,    23.6,     3.2,    16.1
Pulau Ubin,2022,10,6,     3.4,     1.2,     2.0,     3.0,    25.9,    30.7,    23.6,     3.1,    33.5
Pulau Ubin,2022,10,7,    17.4,    11.8,    13.4,    13.8,    25.0,    29.5,    23.3,     2.3,    21.7
Pulau Ubin,2022,10,8,     0.0,     0.0,     0.0,     0.0,    27.0,    32.3,    23.8,     3.1,    18.0
Pulau Ubin,2022,10,9,     0.0,     0.0,     0.0,     0.0,    27.7,    32.1,    24.8,     3.4,    15.7
Pulau Ubin,2022,10,10,    33.2,    18.6,    29.2,    32.6,    25.9,    29.2,    23.0,     3.2,    25.2
Pulau Ubin,2022,10,11,     2.6,     1.2,     1.8,     2.4,    27.7,    33.3,    24.1,     3.2,    18.7
Pulau Ubin,2022,10,12,     9.2,     8.2,     8.2,     8.2,    25.9,    29.5,    23.3,     4.2,    25.6
Pulau Ubin,2022,10,13,     0.0,     0.0,     0.0,     0.0,    28.0,    33.2,    24.6,     3.9,    20.6
Pulau Ubin,2022,10,14,     0.0,     0.0,     0.0,     0.0,    27.6,    32.0,    24.5,     4.9,    24.1
Pulau Ubin,2022,10,15,     3.4,     3.4,     3.4,     3.4,    27.8,    33.1,    25.3,     4.8,    26.7
Pulau Ubin,2022,10,16,    16.0,     4.6,     9.0,    12.6,    26.3,    31.2,    23.3,     3.4,    29.8
Pulau Ubin,2022,10,17,    10.4,     7.4,     8.8,    10.2,    27.2,    32.7,    23.5,     3.3,    29.8
Pulau Ubin,2022,10,18,     0.0,     0.0,     0.0,     0.0,    27.8,    32.7,    24.5,     2.8,    14.1
Pulau Ubin,2022,10,19,    18.8,    16.4,    16.8,    18.4,    27.3,    31.8,    24.1,     2.3,    19.8
Pulau Ubin,2022,10,20,     0.0,     0.0,     0.0,     0.0,    28.8,    34.1,    25.6,     3.3,    21.3
Pulau Ubin,2022,10,21,    23.4,    10.2,    10.2,    10.4,    25.7,    29.5,    23.1,     2.0,    16.1
Pulau Ubin,2022,10,22,     4.0,     1.6,     2.4,     2.4,    26.1,    32.4,    24.0,     3.5,    15.6
Pulau Ubin,2022,10,23,     0.4,     0.2,     0.4,     0.4,    26.6,    30.3,    23.9,     3.9,    16.5
Pulau Ubin,2022,10,24,     2.0,     0.6,     0.8,     1.4,    26.8,    29.7,    25.1,     3.8,    17.6
Pulau Ubin,2022,10,25,    26.8,    14.2,    23.4,    25.0,    26.5,    31.6,    23.4,     3.8,    22.4
Pulau Ubin,2022,10,26,     0.2,     0.2,     0.2,     0.2,    26.1,    29.2,    24.1,     3.8,    24.1
Pulau Ubin,2022,10,27,     0.6,     0.4,     0.6,     0.6,    27.5,    32.9,    24.2,     6.0,    27.4
Pulau Ubin,2022,10,28,     6.5,     5.8,     5.8,     5.8,-,-,-,-,-
Pulau Ubin,2022,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2022,10,30,    22.6,    12.4,    13.4,    22.0,    27.0,    32.2,    23.4,     3.8,    24.8
Pulau Ubin,2022,10,31,    26.8,    19.4,    27.2,    33.6,    26.7,    32.3,    23.2,     4.2,    22.4
