Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,2,1,     0.0,     0.0,     0.0,     0.0,    27.1,    31.5,    24.1,     6.1,    29.1
Pulau Ubin,2022,2,2,     0.0,     0.0,     0.0,     0.0,    27.2,    32.7,    23.6,     4.2,    21.7
Pulau Ubin,2022,2,3,     0.0,     0.0,     0.0,     0.0,    28.0,    33.0,    24.3,     6.3,    27.8
Pulau Ubin,2022,2,4,     0.0,     0.0,     0.0,     0.0,    28.2,    32.4,    25.8,     8.3,    30.2
Pulau Ubin,2022,2,5,     0.6,     0.6,     0.6,     0.6,    27.4,    31.5,    25.0,     7.3,    29.4
Pulau Ubin,2022,2,6,    19.2,     5.2,     5.4,     7.6,    25.8,    29.5,    24.0,     4.5,    24.1
Pulau Ubin,2022,2,7,     1.0,     0.4,     0.8,     1.0,    26.0,    29.8,    24.3,     5.3,    22.4
Pulau Ubin,2022,2,8,     1.6,     0.6,     0.8,     1.2,    26.3,    31.1,    24.1,     5.2,    20.2
Pulau Ubin,2022,2,9,    17.6,     4.0,     5.2,     9.6,    26.0,    31.7,    24.3,     3.9,    24.4
Pulau Ubin,2022,2,10,    22.4,     4.4,     5.8,     9.0,    24.2,    25.0,    23.3,     3.6,    16.9
Pulau Ubin,2022,2,11,     3.4,     2.2,     2.4,     2.8,    25.0,    29.2,    22.3,     4.3,    22.6
Pulau Ubin,2022,2,12,     0.0,     0.0,     0.0,     0.0,    27.0,    31.5,    23.5,     6.2,    24.4
Pulau Ubin,2022,2,13,    19.8,    15.0,    19.2,    19.8,    26.7,    32.3,    23.8,     4.3,    19.8
Pulau Ubin,2022,2,14,     7.6,     7.4,     7.4,     7.4,    27.1,    31.7,    24.1,     3.7,    16.9
Pulau Ubin,2022,2,15,     0.0,     0.0,     0.0,     0.0,    27.9,    33.4,    25.4,     3.7,    22.4
Pulau Ubin,2022,2,16,     8.4,     6.0,     7.0,     7.4,    25.5,    27.8,    22.6,     2.5,    35.9
Pulau Ubin,2022,2,17,     0.0,     0.0,     0.0,     0.0,    27.3,    32.3,    23.9,     4.5,    24.1
Pulau Ubin,2022,2,18,     0.0,     0.0,     0.0,     0.0,    28.2,    32.5,    25.8,     4.8,    20.6
Pulau Ubin,2022,2,19,     0.8,     0.4,     0.4,     0.6,    27.3,    32.3,    24.8,     4.1,    26.3
Pulau Ubin,2022,2,20,     6.2,     5.6,     6.2,     6.2,    26.3,    32.4,    23.1,     3.4,    20.6
Pulau Ubin,2022,2,21,     0.0,     0.0,     0.0,     0.0,    27.5,    32.1,    24.2,     6.2,    27.0
Pulau Ubin,2022,2,22,     0.0,     0.0,     0.0,     0.0,    27.4,    32.5,    23.8,     5.3,    24.8
Pulau Ubin,2022,2,23,     0.0,     0.0,     0.0,     0.0,    27.2,    31.3,    24.5,     6.2,    29.8
Pulau Ubin,2022,2,24,    27.4,     6.6,    10.2,    13.4,    25.1,    27.9,    23.0,     6.0,    25.9
Pulau Ubin,2022,2,25,    30.8,    30.0,    30.8,    30.8,    26.6,    32.7,    22.9,     5.5,    27.4
Pulau Ubin,2022,2,26,     0.0,     0.0,     0.0,     0.0,    26.0,    30.1,    23.5,     3.0,    16.9
Pulau Ubin,2022,2,27,    10.6,    10.2,    10.6,    10.6,    26.6,    30.1,    22.5,     4.7,    23.3
Pulau Ubin,2022,2,28,     0.0,     0.0,     0.0,     0.0,    27.3,    31.7,    24.0,     6.6,    27.0
