Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,11,1,     0.8,     0.6,     0.8,     0.8,    28.0,    33.6,    25.2,     3.3,    17.2
Pulau Ubin,2023,11,2,     0.0,     0.0,     0.0,     0.0,    28.4,    33.6,    24.9,     3.3,    15.2
Pulau Ubin,2023,11,3,     0.0,     0.0,     0.0,     0.0,    28.7,    34.2,    25.3,     3.2,    17.2
Pulau Ubin,2023,11,4,     0.2,     0.2,     0.2,     0.2,    27.7,    32.5,    25.4,     3.2,    22.0
Pulau Ubin,2023,11,5,     0.2,     0.2,     0.2,     0.2,    28.0,    33.4,    25.4,     3.4,    18.3
Pulau Ubin,2023,11,6,     0.4,     0.2,     0.2,     0.2,    27.5,    34.0,    25.2,     3.3,    18.7
Pulau Ubin,2023,11,7,     8.2,     8.0,     8.2,     8.2,    27.2,    33.6,    24.6,     3.7,    21.3
Pulau Ubin,2023,11,8,     0.2,     0.2,     0.2,     0.2,    27.3,    31.5,    24.5,     2.7,    15.2
Pulau Ubin,2023,11,9,     0.2,     0.2,     0.2,     0.2,    27.3,    33.9,    24.8,     3.1,    20.9
Pulau Ubin,2023,11,10,     0.8,     0.4,     0.6,     0.8,    27.3,    33.0,    25.5,     3.8,    20.6
Pulau Ubin,2023,11,11,     0.0,     0.0,     0.0,     0.0,    28.4,    34.9,    24.7,     3.9,    18.7
Pulau Ubin,2023,11,12,     7.8,     4.4,     5.6,     7.6,    27.3,    34.1,    24.5,     3.1,    21.3
Pulau Ubin,2023,11,13,    10.6,     9.2,    10.4,    10.4,    27.5,    33.2,    24.7,     3.3,    21.3
Pulau Ubin,2023,11,14,     3.2,     2.2,     2.8,     3.2,    26.7,    32.4,    25.1,     3.5,    25.9
Pulau Ubin,2023,11,15,     0.0,     0.0,     0.0,     0.0,    27.3,    34.1,    24.7,     4.2,    22.6
Pulau Ubin,2023,11,16,    12.5,    12.0,    11.2,    12.5,    26.8,    34.4,    24.3,     3.4,    24.1
Pulau Ubin,2023,11,17,    29.0,    19.0,    19.5,    19.5,    26.8,    33.5,    24.3,     3.0,    22.4
Pulau Ubin,2023,11,18,     1.5,     1.0,     1.0,     1.0,    28.0,    33.2,    24.7,     5.2,    24.8
Pulau Ubin,2023,11,19,     0.0,     0.0,     0.0,     0.0,    27.1,    28.9,    25.7,     5.0,    22.0
Pulau Ubin,2023,11,20,    37.5,    32.5,    37.0,    37.5,    27.4,    33.9,    24.3,     3.9,    33.5
Pulau Ubin,2023,11,21,    16.0,     8.0,    14.5,    16.0,    26.6,    30.4,    25.0,     3.3,    22.4
Pulau Ubin,2023,11,22,     0.7,     0.5,     0.2,     0.5,    27.1,    31.0,    25.2,     3.4,    23.7
Pulau Ubin,2023,11,23,     4.5,     3.0,     4.5,     4.5,    27.1,    33.0,    24.5,     4.2,    21.3
Pulau Ubin,2023,11,24,     0.5,     0.5,     0.2,     0.5,    27.2,    31.2,    24.5,     4.1,    16.5
Pulau Ubin,2023,11,25,     6.0,     2.5,     4.0,     6.0,    26.8,    31.8,    25.1,     3.1,    17.6
Pulau Ubin,2023,11,26,     7.5,     2.0,     3.0,     3.5,    26.3,    33.1,    24.1,     3.8,    16.5
Pulau Ubin,2023,11,27,     0.2,     0.2,     0.5,     0.2,    26.5,    30.6,    24.4,     3.0,    15.2
Pulau Ubin,2023,11,28,     0.5,     0.5,     0.5,     0.5,    27.3,    32.6,    25.1,     4.0,    21.3
Pulau Ubin,2023,11,29,     0.0,     0.0,     0.2,     0.0,    27.5,    32.4,    25.6,     3.6,    16.1
Pulau Ubin,2023,11,30,   108.0,    49.0,    67.5,    75.0,    27.2,    33.0,    24.2,     3.9,    25.6
