Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,9,1,     0.0,     0.0,     0.0,     0.0,    27.9,    32.7,    25.5,     3.4,    25.6
Pulau Ubin,2020,9,2,     1.8,     1.2,     1.4,     1.8,    27.8,    32.5,    25.4,     2.9,    14.8
Pulau Ubin,2020,9,3,    12.2,    11.0,    11.4,    11.4,    26.6,    31.4,    24.3,     2.7,    16.9
Pulau Ubin,2020,9,4,     1.2,     0.8,     1.2,     1.2,    27.0,    32.3,    24.5,     3.8,    22.6
Pulau Ubin,2020,9,5,    22.2,     5.6,     8.6,    12.8,    24.7,    26.1,    23.3,     3.2,    18.3
Pulau Ubin,2020,9,6,    13.2,    11.8,    12.4,    12.8,    26.0,    32.3,    23.7,     2.4,    23.0
Pulau Ubin,2020,9,7,     0.0,     0.0,     0.0,     0.0,    27.3,    32.6,    24.2,     3.6,    22.6
Pulau Ubin,2020,9,8,     1.8,     1.2,     1.8,     1.8,    27.4,    32.4,    25.4,     3.5,    27.0
Pulau Ubin,2020,9,9,     3.0,     2.6,     2.8,     2.8,    27.3,    32.3,    25.0,     2.6,    18.3
Pulau Ubin,2020,9,10,     0.6,     0.6,     0.6,     0.6,    27.6,    32.0,    25.2,     3.5,    23.3
Pulau Ubin,2020,9,11,    16.2,    15.0,    15.0,    15.2,    26.9,    32.7,    23.8,     4.0,    21.3
Pulau Ubin,2020,9,12,     5.8,     2.2,     2.8,     3.6,    25.4,    31.6,    23.3,     2.6,    33.5
Pulau Ubin,2020,9,13,    15.2,     4.4,     7.8,    11.4,    24.5,    26.9,    22.4,     3.2,    33.9
Pulau Ubin,2020,9,14,    14.8,    11.8,    12.8,    14.2,    24.9,    28.8,    23.3,     2.7,    30.6
Pulau Ubin,2020,9,15,     0.0,     0.0,     0.0,     0.0,    27.3,    32.2,    24.2,     3.5,    19.8
Pulau Ubin,2020,9,16,    15.2,     8.0,    11.0,    14.2,    26.1,    31.3,    21.7,     3.9,    36.7
Pulau Ubin,2020,9,17,     0.0,     0.0,     0.0,     0.0,    27.4,    33.7,    24.2,     4.1,    29.1
Pulau Ubin,2020,9,18,     0.0,     0.0,     0.0,     0.0,    28.6,    34.0,    24.9,     4.3,    23.3
Pulau Ubin,2020,9,19,    12.6,    12.0,    12.2,    12.2,    28.0,    34.0,    23.6,     4.3,    29.8
Pulau Ubin,2020,9,20,     2.2,     1.6,     1.8,     2.0,    27.9,    32.7,    24.9,     3.0,    22.6
Pulau Ubin,2020,9,21,     3.2,     1.0,     1.6,     2.2,    25.9,    28.9,    24.5,     2.8,    20.2
Pulau Ubin,2020,9,22,     0.2,     0.2,     0.2,     0.2,    27.1,    33.3,    24.8,     3.1,    18.3
Pulau Ubin,2020,9,23,     0.0,     0.0,     0.0,     0.0,    28.3,    33.9,    24.5,     3.1,    24.1
Pulau Ubin,2020,9,24,     6.8,     6.6,     6.6,     6.6,    27.9,    32.8,    24.1,     4.0,    29.4
Pulau Ubin,2020,9,25,     0.6,     0.6,     0.6,     0.6,    28.2,    33.5,    25.2,     3.5,    27.4
Pulau Ubin,2020,9,26,    24.4,    14.2,    19.0,    21.0,    25.8,    29.0,    23.3,     4.2,    27.8
Pulau Ubin,2020,9,27,     6.4,     2.8,     4.2,     5.6,    26.0,    30.0,    22.8,     3.6,    22.0
Pulau Ubin,2020,9,28,     0.0,     0.0,     0.0,     0.0,    27.5,    32.2,    24.9,     2.9,    22.4
Pulau Ubin,2020,9,29,     0.8,     0.4,     0.4,     0.4,    26.7,    30.6,    24.4,     3.0,    27.8
Pulau Ubin,2020,9,30,     6.2,     5.4,     5.6,     6.2,    27.4,    33.3,    24.6,     2.9,    18.7
