Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,10,1,     1.2,     1.0,     1.0,     1.2,    26.8,    31.1,    24.7,     3.0,    19.4
Pulau Ubin,2020,10,2,     0.4,     0.4,     0.4,     0.4,    27.4,    33.0,    24.6,     3.5,    22.0
Pulau Ubin,2020,10,3,     3.4,     1.8,     1.8,     3.0,    27.4,    32.4,    23.9,     5.8,    29.1
Pulau Ubin,2020,10,4,     0.0,     0.0,     0.0,     0.0,    27.6,    31.1,    25.0,     2.6,    21.3
Pulau Ubin,2020,10,5,     0.0,     0.0,     0.0,     0.0,    28.6,    34.8,    25.6,     3.0,    19.4
Pulau Ubin,2020,10,6,     0.0,     0.0,     0.0,     0.0,    28.3,    33.8,    25.6,     3.6,    21.7
Pulau Ubin,2020,10,7,     0.4,     0.4,     0.4,     0.4,    28.4,    33.3,    25.0,     5.2,    27.0
Pulau Ubin,2020,10,8,     4.6,     2.0,     3.0,     3.4,    26.9,    32.4,    24.4,     4.9,    27.8
Pulau Ubin,2020,10,9,     0.0,     0.0,     0.0,     0.0,    27.5,    31.0,    25.6,     3.7,    18.7
Pulau Ubin,2020,10,10,    23.0,    20.4,    22.0,    22.6,    26.6,    29.8,    23.2,     3.1,    31.7
Pulau Ubin,2020,10,11,     0.0,     0.0,     0.0,     0.0,    27.3,    31.7,    24.8,     4.6,    33.9
Pulau Ubin,2020,10,12,     0.0,     0.0,     0.0,     0.0,    27.9,    31.1,    25.7,     6.2,    28.9
Pulau Ubin,2020,10,13,     0.0,     0.0,     0.0,     0.0,    28.2,    32.0,    25.0,     3.5,    20.2
Pulau Ubin,2020,10,14,     6.4,     4.4,     4.4,     4.4,    27.7,    31.5,    24.2,     3.4,    21.7
Pulau Ubin,2020,10,15,     1.0,     0.4,     0.6,     1.0,    27.6,    33.1,    24.0,     4.3,    26.3
Pulau Ubin,2020,10,16,     4.2,     3.8,     3.8,     3.8,    28.3,    33.3,    23.8,     4.1,    25.9
Pulau Ubin,2020,10,17,     0.0,     0.0,     0.0,     0.0,    29.1,    34.1,    25.8,     3.7,    22.0
Pulau Ubin,2020,10,18,     3.4,     3.2,     3.2,     3.4,    27.4,    31.3,    23.7,     3.1,    33.2
Pulau Ubin,2020,10,19,     0.0,     0.0,     0.0,     0.0,    28.1,    33.3,    25.5,     3.0,    17.2
Pulau Ubin,2020,10,20,     0.2,     0.2,     0.2,     0.2,    27.4,    30.2,    25.7,     2.6,    16.1
Pulau Ubin,2020,10,21,     1.2,     0.6,     0.6,     0.6,    28.0,    34.4,    25.0,     3.8,    17.6
Pulau Ubin,2020,10,22,     1.4,     0.6,     0.6,     1.2,    27.0,    31.5,    24.3,     5.7,    32.4
Pulau Ubin,2020,10,23,     0.0,     0.0,     0.0,     0.0,    28.2,    31.9,    25.9,     3.1,    13.3
Pulau Ubin,2020,10,24,     2.6,     1.6,     1.6,     2.0,    27.0,    30.7,    25.7,     2.4,    12.6
Pulau Ubin,2020,10,25,    16.2,    10.0,    14.4,    15.6,    27.7,    33.4,    22.4,     4.3,    28.9
Pulau Ubin,2020,10,26,     0.2,     0.2,     0.2,     0.2,    26.8,    29.0,    24.3,     3.0,    24.8
Pulau Ubin,2020,10,27,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.0,     4.2,    24.1
Pulau Ubin,2020,10,28,     7.0,     7.0,     7.0,     7.0,-,-,-,-,-
Pulau Ubin,2020,10,29,     0.0,     0.0,     0.0,     0.0,    27.4,    32.7,    25.1,     3.0,    19.4
Pulau Ubin,2020,10,30,     0.0,     0.0,     0.0,     0.0,    27.9,    32.4,    24.3,     3.3,    14.8
Pulau Ubin,2020,10,31,    18.2,    17.6,    18.0,    18.0,    26.9,    32.7,    23.9,     3.2,    28.9
