Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,8,1,     0.0,     0.0,     0.0,     0.0,    28.6,    33.6,    25.9,     4.0,    24.8
Pulau Ubin,2023,8,2,     0.0,     0.0,     0.0,     0.0,    29.4,    33.7,    26.6,     4.7,    23.0
Pulau Ubin,2023,8,3,    38.8,    22.6,    32.0,    32.8,    25.6,    28.6,    22.5,     2.8,    22.4
Pulau Ubin,2023,8,4,     0.0,     0.0,     0.0,     0.0,    28.1,    32.7,    24.5,     3.9,    22.0
Pulau Ubin,2023,8,5,     0.0,     0.0,     0.0,     0.0,    29.1,    33.0,    26.3,     4.7,    24.4
Pulau Ubin,2023,8,6,     0.0,     0.0,     0.0,     0.0,    28.8,    33.8,    25.2,     3.3,    20.2
Pulau Ubin,2023,8,7,     0.0,     0.0,     0.0,     0.0,    28.8,    33.9,    25.4,     3.7,    20.2
Pulau Ubin,2023,8,8,     9.4,     7.4,     8.0,     8.0,    28.0,    32.4,    26.0,     3.7,    24.1
Pulau Ubin,2023,8,9,     0.0,     0.0,     0.0,     0.0,    28.6,    33.1,    25.7,     3.9,    22.0
Pulau Ubin,2023,8,10,     0.2,     0.2,     0.2,     0.2,    29.0,    33.1,    26.5,     3.9,    20.6
Pulau Ubin,2023,8,11,     0.4,     0.4,     0.4,     0.4,    28.3,    33.3,    25.5,     3.7,    19.8
Pulau Ubin,2023,8,12,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    26.5,     4.8,    21.7
Pulau Ubin,2023,8,13,     1.6,     1.6,     1.6,     1.6,    28.6,    32.1,    26.1,     4.9,    25.6
Pulau Ubin,2023,8,14,    34.4,    12.4,    20.0,    24.6,    26.6,    31.8,    23.9,     4.2,    29.8
Pulau Ubin,2023,8,15,     0.0,     0.0,     0.0,     0.0,    27.3,    33.4,    24.1,     2.8,    19.8
Pulau Ubin,2023,8,16,    23.2,    11.8,    14.2,    20.8,    27.1,    32.9,    24.2,     3.4,    22.6
Pulau Ubin,2023,8,17,    54.8,    39.4,    53.4,    54.4,    26.8,    33.3,    23.7,     3.1,    27.0
Pulau Ubin,2023,8,18,    18.2,    14.2,    15.8,    16.6,    26.0,    28.7,    24.3,     2.2,    19.8
Pulau Ubin,2023,8,19,     6.8,     3.2,     4.4,     6.8,    26.2,    30.0,    24.3,     2.4,    23.3
Pulau Ubin,2023,8,20,    11.8,    10.6,    11.4,    11.4,    27.3,    31.6,    24.7,     3.7,    26.3
Pulau Ubin,2023,8,21,    33.8,    17.0,    17.6,    20.4,    26.2,    30.8,    23.1,     3.0,    33.5
Pulau Ubin,2023,8,22,     0.0,     0.0,     0.0,     0.0,    28.2,    32.5,    24.4,     4.7,    28.2
Pulau Ubin,2023,8,23,     0.0,     0.0,     0.0,     0.0,    28.6,    33.3,    25.3,     4.3,    25.9
Pulau Ubin,2023,8,24,     0.0,     0.0,     0.0,     0.0,    28.4,    33.3,    25.3,     3.6,    21.3
Pulau Ubin,2023,8,25,     2.6,     2.2,     2.2,     2.2,    27.9,    32.5,    25.6,     3.4,    29.8
Pulau Ubin,2023,8,26,     0.6,     0.2,     0.2,     0.4,    26.8,    32.9,    25.1,     2.9,    22.0
Pulau Ubin,2023,8,27,     0.0,     0.0,     0.0,     0.0,    28.1,    33.4,    24.2,     4.0,    20.6
Pulau Ubin,2023,8,28,     0.0,     0.0,     0.0,     0.0,    27.9,    33.0,    25.2,     3.2,    24.1
Pulau Ubin,2023,8,29,     8.2,     7.4,     8.2,     8.2,    27.5,    31.3,    25.6,     3.5,    22.6
Pulau Ubin,2023,8,30,     0.0,     0.0,     0.0,     0.0,    28.2,    32.8,    24.5,     4.0,    27.0
Pulau Ubin,2023,8,31,     1.8,     1.8,     1.8,     1.8,    28.1,    31.8,    25.6,     4.1,    23.3
