Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2019,12,1,0.2,0.2,0.2,0.2,28,33.7,25.2,4.3,19.8
Pulau Ubin,2019,12,2,55,26.4,39.4,51.8,26.2,31.4,24.3,4.3,27.4
Pulau Ubin,2019,12,3,0,0,0,0,27.3,30.4,24.8,6.8,30.2
Pulau Ubin,2019,12,4,0,0,0,0,27.9,31.4,25.2,8.3,37.4
Pulau Ubin,2019,12,5,0,0,0,0,27,30.1,24.2,5.8,29.2
Pulau Ubin,2019,12,6,0,0,0,0,27.5,31.8,24.7,7.9,31
Pulau Ubin,2019,12,7,0,0,0,0,27.9,30.3,25.9,9,32.8
Pulau Ubin,2019,12,8,1.6,1.2,1.2,1.6,25.9,27.6,24.6,4.7,26.3
Pulau Ubin,2019,12,9,100.4,18.6,32.4,45.2,24.4,27.3,23.1,5.4,25.6
Pulau Ubin,2019,12,10,25,10.4,13.6,15.2,24.5,26.1,23.2,2.9,24.5
Pulau Ubin,2019,12,11,—,—,—,—,—,—,—,—,—
Pulau Ubin,2019,12,12,—,—,—,—,—,—,—,—,—
Pulau Ubin,2019,12,13,83.6,18.6,19.4,32.8,24.7,28.9,23.1,4.7,31.3
Pulau Ubin,2019,12,14,46.8,7,8.6,14,—,—,—,3.6,16.6
Pulau Ubin,2019,12,15,—,—,—,—,—,—,—,—,—
Pulau Ubin,2019,12,16,0,0,0,0,—,—,—,4.3,19.4
Pulau Ubin,2019,12,17,10.6,4.8,5.4,5.8,—,—,—,2.5,14.4
Pulau Ubin,2019,12,18,22.4,10,16,22.2,—,—,—,4,21.2
Pulau Ubin,2019,12,19,0.2,0.2,0.2,0.2,26.3,30.8,23.7,4.3,23.4
Pulau Ubin,2019,12,20,0.6,0.4,0.6,0.6,26.6,30.6,23.9,4.7,26.3
Pulau Ubin,2019,12,21,0.2,0.2,0.2,0.2,26.7,31.1,24.4,5.8,23.8
Pulau Ubin,2019,12,22,0,0,0,0,26.5,30.2,24.2,5.8,24.1
Pulau Ubin,2019,12,23,2.4,2.2,2.4,2.4,26.7,31.8,24,4.3,20.2
Pulau Ubin,2019,12,24,0,0,0,0,27.1,31.1,24.7,6.8,25.2
Pulau Ubin,2019,12,25,0.2,0.2,0.2,0.2,27.2,31.8,24.1,5.4,19.8
Pulau Ubin,2019,12,26,0,0,0,0,26.9,30.6,23.9,5.8,21.2
Pulau Ubin,2019,12,27,0,0,0,0,27.4,31.7,24.5,7.2,29.9
Pulau Ubin,2019,12,28,0,0,0,0,26.9,31.1,23.5,6.5,28.1
Pulau Ubin,2019,12,29,0,0,0,0,27.5,31.8,24.5,6.8,26.6
Pulau Ubin,2019,12,30,0,0,0,0,27.6,31.8,24.1,6.8,23.8
Pulau Ubin,2019,12,31,0,0,0,0,27.4,31.5,24.6,7.2,22.7
