Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,4,1,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    25.5,     5.4,    25.2
Pulau Ubin,2021,4,2,     2.2,     1.6,     1.8,     2.0,    28.0,    34.7,    24.5,     3.1,    18.0
Pulau Ubin,2021,4,3,     3.6,     2.2,     3.0,     3.4,    27.1,    34.5,    24.8,     3.0,    35.6
Pulau Ubin,2021,4,4,    30.2,    13.4,    18.2,    19.2,    26.2,    29.8,    24.3,     2.7,    22.0
Pulau Ubin,2021,4,5,    15.8,     9.8,    13.2,    14.8,    26.3,    32.7,    23.6,     3.2,    25.9
Pulau Ubin,2021,4,6,     0.0,     0.0,     0.0,     0.0,    27.7,    32.3,    23.9,     4.5,    20.2
Pulau Ubin,2021,4,7,     0.2,     0.2,     0.2,     0.2,    28.5,    33.2,    24.3,     5.3,    24.8
Pulau Ubin,2021,4,8,    34.8,    19.0,    30.2,    33.2,    27.1,    33.6,    24.2,     3.5,    19.1
Pulau Ubin,2021,4,9,     0.0,     0.0,     0.0,     0.0,    27.8,    32.5,    24.6,     4.1,    21.3
Pulau Ubin,2021,4,10,     0.0,     0.0,     0.0,     0.0,    28.6,    33.4,    24.7,     4.6,    22.0
Pulau Ubin,2021,4,11,     0.0,     0.0,     0.0,     0.0,    28.6,    33.6,    25.3,     4.1,    20.6
Pulau Ubin,2021,4,12,    15.6,    15.4,    15.4,    15.4,    27.9,    33.5,    22.8,     3.6,    24.8
Pulau Ubin,2021,4,13,     0.0,     0.0,     0.0,     0.0,    27.9,    33.0,    25.1,     3.3,    18.0
Pulau Ubin,2021,4,14,     0.0,     0.0,     0.0,     0.0,    28.1,    33.4,    24.9,     3.5,    22.4
Pulau Ubin,2021,4,15,     4.6,     1.2,     1.6,     2.8,    26.0,    33.3,    23.7,     3.3,    23.0
Pulau Ubin,2021,4,16,     0.0,     0.0,     0.2,     0.2,    27.2,    31.4,    24.2,     2.3,    13.0
Pulau Ubin,2021,4,17,    65.6,    19.0,    26.2,    30.0,    24.9,    30.7,    22.9,     3.2,    20.9
Pulau Ubin,2021,4,18,     0.0,     0.0,     0.0,     0.0,    27.4,    34.1,    23.6,     3.1,    16.9
Pulau Ubin,2021,4,19,     0.4,     0.4,     0.4,     0.4,    27.3,    31.9,    24.6,     3.3,    24.1
Pulau Ubin,2021,4,20,     0.0,     0.0,     0.0,     0.0,    28.3,    34.4,    24.5,     3.6,    19.1
Pulau Ubin,2021,4,21,     0.0,     0.0,     0.0,     0.0,    28.4,    33.5,    25.7,     3.7,    20.9
Pulau Ubin,2021,4,22,    14.4,    12.6,    13.6,    13.8,    26.4,    32.4,    23.9,     3.1,    20.6
Pulau Ubin,2021,4,23,     0.0,     0.0,     0.0,     0.0,    28.0,    33.0,    24.3,     4.5,    23.3
Pulau Ubin,2021,4,24,    15.0,     4.2,     7.0,    11.0,    25.6,    27.5,    23.4,     2.9,    39.3
Pulau Ubin,2021,4,25,     0.0,     0.0,     0.0,     0.0,    28.5,    33.9,    24.5,     3.3,    20.2
Pulau Ubin,2021,4,26,    75.2,    40.6,    69.2,    75.2,    27.2,    33.7,    24.3,     3.0,    19.8
Pulau Ubin,2021,4,27,     0.0,     0.0,     0.0,     0.0,    27.1,    32.6,    24.5,     3.1,    15.6
Pulau Ubin,2021,4,28,     0.0,     0.0,     0.0,     0.0,    27.8,    33.2,    24.3,     3.3,    16.5
Pulau Ubin,2021,4,29,     6.0,     6.0,     6.0,     6.0,    28.1,    33.9,    25.0,     3.2,    18.3
Pulau Ubin,2021,4,30,     0.0,     0.0,     0.0,     0.0,    28.2,    33.4,    25.0,     3.4,    21.7
