Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,7,1,     0.0,     0.0,     0.0,     0.0,    28.1,    32.8,    26.0,     2.9,    22.6
Pulau Ubin,2020,7,2,     0.0,     0.0,     0.0,     0.0,    28.6,    32.1,    26.0,     4.4,    20.2
Pulau Ubin,2020,7,3,     0.0,     0.0,     0.0,     0.0,    29.1,    33.6,    26.6,     4.5,    24.8
Pulau Ubin,2020,7,4,     0.6,     0.6,     0.6,     0.6,    28.2,    33.0,    25.1,     3.7,    20.9
Pulau Ubin,2020,7,5,     0.2,     0.2,     0.2,     0.2,    27.1,    33.9,    24.7,     3.0,    22.4
Pulau Ubin,2020,7,6,     0.8,     0.8,     0.8,     0.8,    28.4,    33.3,    24.9,     3.5,    27.0
Pulau Ubin,2020,7,7,     2.4,     2.2,     2.2,     2.4,    27.1,    32.3,    25.0,     2.7,    20.9
Pulau Ubin,2020,7,8,     1.0,     0.8,     0.8,     0.8,    27.0,    31.5,    25.1,     3.1,    18.7
Pulau Ubin,2020,7,9,     2.0,     0.4,     0.6,     1.0,    25.7,    28.4,    24.6,     4.8,    28.2
Pulau Ubin,2020,7,10,     0.0,     0.0,     0.0,     0.0,    26.8,    30.8,    24.4,     2.9,    16.1
Pulau Ubin,2020,7,11,     3.8,     2.4,     2.4,     2.4,    26.5,    30.4,    24.7,     2.5,    18.0
Pulau Ubin,2020,7,12,     2.4,     2.2,     2.2,     2.4,    28.1,    32.6,    25.1,     3.8,    23.7
Pulau Ubin,2020,7,13,    28.2,     6.4,     9.2,    10.6,    25.3,    28.7,    24.1,     4.6,    25.2
Pulau Ubin,2020,7,14,     0.2,     0.2,     0.2,     0.2,    26.4,    30.5,    24.1,     2.5,    17.2
Pulau Ubin,2020,7,15,     3.6,     3.6,     3.6,     3.6,    26.8,    32.2,    24.8,     2.5,    16.5
Pulau Ubin,2020,7,16,     7.2,-,-,-,    27.2,    34.1,    24.6,     2.9,    20.6
Pulau Ubin,2020,7,17,     0.2,     0.2,     0.2,     0.2,    28.5,    33.8,    24.6,     3.0,    15.7
Pulau Ubin,2020,7,18,     0.2,     0.2,     0.2,     0.2,    27.2,    32.2,    24.9,     2.7,    20.6
Pulau Ubin,2020,7,19,     0.0,     0.0,     0.0,     0.0,    28.3,    32.8,    24.7,     3.8,    20.9
Pulau Ubin,2020,7,20,     0.0,     0.0,     0.0,     0.0,    28.5,    33.1,    25.2,     3.6,    23.0
Pulau Ubin,2020,7,21,     0.0,     0.0,     0.0,     0.0,    28.3,    33.4,    25.2,     3.0,    22.4
Pulau Ubin,2020,7,22,    11.2,     6.8,     9.4,    10.0,    27.1,    31.4,    24.6,     2.4,    18.7
Pulau Ubin,2020,7,23,     5.2,     2.6,     4.0,     5.2,    27.2,    31.5,    23.5,     3.4,    25.2
Pulau Ubin,2020,7,24,     1.2,     0.8,     0.8,     1.0,    27.0,    31.9,    25.1,     2.9,    19.4
Pulau Ubin,2020,7,25,     0.2,     0.2,     0.2,     0.2,    27.0,    32.1,    24.4,     3.2,    23.7
Pulau Ubin,2020,7,26,     0.6,     0.2,     0.4,     0.4,    27.2,    32.0,    25.4,     4.0,    28.5
Pulau Ubin,2020,7,27,    18.0,    14.0,    14.2,    16.2,    26.1,    31.1,    24.0,     3.1,    21.3
Pulau Ubin,2020,7,28,     8.2,     7.8,     8.0,     8.0,    26.9,    31.1,    24.4,     2.9,    21.7
Pulau Ubin,2020,7,29,    20.8,    14.6,    16.6,    16.8,    25.3,    28.6,    23.8,     2.6,    23.3
Pulau Ubin,2020,7,30,     0.4,     0.2,     0.2,     0.2,    27.9,    33.1,    24.5,     3.5,    21.3
Pulau Ubin,2020,7,31,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    25.2,     4.7,    24.4
