Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,9,1,     0.0,     0.0,     0.0,     0.0,    27.9,    33.7,    25.2,     2.7,    18.0
Pulau Ubin,2022,9,2,    33.8,    15.2,    16.8,    17.4,    25.7,    28.7,    23.7,     2.9,    23.3
Pulau Ubin,2022,9,3,     0.0,     0.0,     0.0,     0.0,    27.6,    33.0,    24.5,     3.9,    26.7
Pulau Ubin,2022,9,4,     0.6,     0.6,     0.6,     0.6,    26.8,    32.0,    25.0,     2.2,    22.6
Pulau Ubin,2022,9,5,     5.0,     4.2,     4.4,     5.0,    26.3,    32.8,    23.6,     2.9,    30.2
Pulau Ubin,2022,9,6,     0.0,     0.0,     0.0,     0.0,    27.6,    33.1,    24.5,     2.9,    19.1
Pulau Ubin,2022,9,7,     1.2,     0.8,     0.8,     0.8,    26.4,    29.6,    24.6,     3.7,    22.0
Pulau Ubin,2022,9,8,     0.0,     0.0,     0.0,     0.0,    27.5,    32.3,    24.8,     2.4,    15.2
Pulau Ubin,2022,9,9,     8.2,     3.6,     4.2,     7.8,    26.1,    30.8,    24.5,     2.4,    15.7
Pulau Ubin,2022,9,10,     0.2,     0.2,     0.2,     0.2,    27.8,    33.0,    24.4,     3.4,    22.0
Pulau Ubin,2022,9,11,     0.8,     0.4,     0.4,     0.4,    26.6,    31.2,    24.2,     3.6,    37.0
Pulau Ubin,2022,9,12,     0.0,     0.0,     0.0,     0.4,    27.4,    32.7,    22.9,     3.2,    19.8
Pulau Ubin,2022,9,13,     0.0,     0.0,     0.0,     0.0,    26.7,    31.5,    25.1,     3.6,    20.9
Pulau Ubin,2022,9,14,     0.2,     0.2,     0.2,     0.2,    26.4,    30.5,    25.2,     4.7,    31.3
Pulau Ubin,2022,9,15,     0.0,     0.0,     0.0,     0.0,    27.4,    33.1,    24.8,     3.0,    21.7
Pulau Ubin,2022,9,16,     0.0,     0.0,     0.0,     0.0,    28.0,    33.1,    24.5,     3.3,    18.7
Pulau Ubin,2022,9,17,     1.2,     1.2,     1.2,     1.2,    27.1,    31.0,    24.8,     2.6,    23.3
Pulau Ubin,2022,9,18,    70.0,    28.4,    41.2,    58.0,    25.2,    27.1,    22.7,     3.5,    22.6
Pulau Ubin,2022,9,19,     0.0,     0.0,     0.0,     0.0,    27.0,    31.3,    24.4,     2.6,    14.1
Pulau Ubin,2022,9,20,     0.6,     0.4,     0.6,     0.6,    26.2,    29.0,    23.7,     2.3,    23.3
Pulau Ubin,2022,9,21,     0.2,     0.2,     0.2,     0.2,    27.9,    33.2,    24.5,     3.4,    20.6
Pulau Ubin,2022,9,22,     6.8,     4.2,     5.2,     5.8,    25.9,    28.9,    23.3,     3.8,    32.8
Pulau Ubin,2022,9,23,     0.0,     0.0,     0.0,     0.0,    28.1,    32.7,    24.6,     3.1,    19.1
Pulau Ubin,2022,9,24,     1.0,     0.6,     0.8,     0.8,    27.1,    32.1,    24.2,     3.3,    20.9
Pulau Ubin,2022,9,25,    28.6,    17.8,    23.4,    26.6,    25.8,    29.6,    22.6,     4.2,    30.2
Pulau Ubin,2022,9,26,     0.0,     0.0,     0.0,     0.0,    27.1,    30.6,    25.3,     2.8,    17.6
Pulau Ubin,2022,9,27,     0.0,     0.0,     0.0,     0.0,    27.8,    33.0,    24.4,     3.1,    20.6
Pulau Ubin,2022,9,28,    14.2,    14.0,    14.0,    14.0,    27.8,    32.9,    24.1,     3.4,    21.3
Pulau Ubin,2022,9,29,    22.2,    19.0,    21.8,    22.2,    26.8,    31.6,    22.9,     2.7,    25.2
Pulau Ubin,2022,9,30,     0.0,     0.0,     0.0,     0.0,    28.1,    33.3,    25.0,     3.1,    20.2
