Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,12,1,    18.0,     3.5,    31.5,    75.0,    26.0,    31.8,    23.4,     2.8,    15.2
Pulau Ubin,2023,12,2,     0.5,     0.5,     0.5,     0.5,    27.2,    32.5,    24.8,     3.3,    16.1
Pulau Ubin,2023,12,3,     1.0,     0.5,     1.0,     1.0,    25.8,    27.9,    24.7,     2.6,    18.3
Pulau Ubin,2023,12,4,     0.0,     0.0,     0.0,     0.0,    27.0,    31.6,    24.6,     3.4,    22.6
Pulau Ubin,2023,12,5,     0.0,     0.0,     0.0,     0.0,    27.5,    33.4,    24.9,     3.3,    30.6
Pulau Ubin,2023,12,6,    28.0,    20.0,    25.5,    26.0,    25.9,    31.3,    23.8,     3.2,    27.0
Pulau Ubin,2023,12,7,     2.0,     1.2,     1.6,     1.6,    26.5,    32.9,    24.2,     3.1,    22.6
Pulau Ubin,2023,12,8,     0.0,     0.0,     0.0,     0.0,    28.2,    33.0,    25.4,     5.9,    25.2
Pulau Ubin,2023,12,9,     1.0,     0.8,     0.8,     1.0,    27.4,    31.5,    24.8,     4.9,    22.4
Pulau Ubin,2023,12,10,     0.0,     0.0,     0.0,     0.0,    27.4,    31.0,    25.8,     4.1,    19.1
Pulau Ubin,2023,12,11,     1.0,     1.0,     1.0,     1.0,    27.4,    32.7,    25.7,     4.2,    20.2
Pulau Ubin,2023,12,12,     2.4,     2.2,     2.2,     2.2,    26.6,    30.3,    25.5,     3.8,    18.7
Pulau Ubin,2023,12,13,     0.0,     0.0,     0.0,     0.0,    27.3,    32.2,    24.5,     3.5,    19.1
Pulau Ubin,2023,12,14,    77.4,    40.4,    53.0,    64.6,    26.8,    33.0,    23.1,     3.4,    18.7
Pulau Ubin,2023,12,15,     0.2,     0.2,     0.2,     0.2,    27.4,    33.5,    24.3,     3.2,    16.5
Pulau Ubin,2023,12,16,     0.0,     0.0,     0.0,     0.0,    27.4,    31.5,    25.1,     4.1,    25.9
Pulau Ubin,2023,12,17,     2.4,     1.8,     1.8,     1.8,    27.6,    32.1,    25.3,     6.1,    24.8
Pulau Ubin,2023,12,18,     0.9,     0.5,     0.5,     1.8,    27.7,    31.8,    24.9,     4.8,    24.4
Pulau Ubin,2023,12,19,     0.6,     0.4,     0.6,     0.6,    27.1,    31.8,    25.2,     4.2,    18.7
Pulau Ubin,2023,12,20,     1.6,     0.8,     1.0,     1.0,    27.0,    31.6,    25.2,     4.4,    23.7
Pulau Ubin,2023,12,21,    12.0,     7.4,     7.8,     7.8,    26.6,    31.5,    25.0,     5.8,    26.7
Pulau Ubin,2023,12,22,    18.0,     9.4,    11.4,    14.4,    27.3,    31.4,    24.8,     9.1,    30.9
Pulau Ubin,2023,12,23,     3.8,     1.6,     2.0,     2.4,    25.7,    26.8,    25.0,     3.9,    22.4
Pulau Ubin,2023,12,24,     0.2,     0.2,     0.2,     0.2,    27.7,    32.7,    24.7,     4.1,    19.4
Pulau Ubin,2023,12,25,    26.4,    15.6,    18.8,    25.6,    26.4,    31.3,    23.7,     4.2,    24.4
Pulau Ubin,2023,12,26,     1.8,     1.0,     1.0,     1.0,    26.6,    30.9,    24.5,     5.0,    23.7
Pulau Ubin,2023,12,27,    34.0,    16.2,    18.8,    20.8,    25.9,    28.9,    24.1,     4.0,    27.4
Pulau Ubin,2023,12,28,     4.6,     1.6,     1.8,     1.8,    26.9,    31.2,    24.9,     3.4,    19.4
Pulau Ubin,2023,12,29,    15.8,     8.8,     9.4,    10.4,    27.3,    31.3,    24.5,     4.9,    23.3
Pulau Ubin,2023,12,30,     0.2,     0.2,     0.2,     0.2,    27.9,    31.5,    25.5,     5.4,    28.5
Pulau Ubin,2023,12,31,    32.0,    16.4,    18.4,    23.8,    25.9,    27.6,    24.8,     3.9,    27.8
