Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,5,1,    14.4,     6.4,     7.6,     7.8,    26.1,    31.9,    23.9,     3.2,    24.1
Pulau Ubin,2020,5,2,     0.0,     0.0,     0.0,     0.0,    27.7,    32.4,    24.9,     3.0,    19.8
Pulau Ubin,2020,5,3,     1.8,     0.8,     1.2,     1.4,    28.4,    33.0,    25.6,     3.2,    18.3
Pulau Ubin,2020,5,4,    15.0,    13.6,    14.6,    14.6,    26.8,    31.8,    25.3,     2.5,    17.6
Pulau Ubin,2020,5,5,    40.2,    38.6,    40.0,    40.2,    27.4,    34.9,    23.8,     3.2,    26.7
Pulau Ubin,2020,5,6,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,7,     0.0,     0.0,     0.0,     0.0,    28.8,    34.6,    25.9,     3.1,    18.0
Pulau Ubin,2020,5,8,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,9,     0.0,     0.0,     0.0,     0.0,    30.1,    34.5,    27.0,     4.1,    24.8
Pulau Ubin,2020,5,10,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,11,    21.4,    14.6,    17.0,    18.2,    28.3,    33.1,    24.6,     3.0,    24.4
Pulau Ubin,2020,5,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,5,13,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,5,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,5,16,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Pulau Ubin,2020,5,17,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,18,     0.4,     0.2,     1.2,     3.8,-,-,-,-,-
Pulau Ubin,2020,5,19,     4.8,     4.4,     4.8,     4.8,    28.7,    34.1,    26.5,     2.8,    35.6
Pulau Ubin,2020,5,20,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,21,     0.0,     0.0,     0.0,     0.0,    28.7,    34.8,    25.7,-,    18.0
Pulau Ubin,2020,5,22,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,23,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,5,25,     0.0,     0.0,     0.0,     0.0,    29.3,    34.9,    25.9,-,    21.3
Pulau Ubin,2020,5,26,     1.4,     1.0,     1.0,     1.4,-,-,-,-,-
Pulau Ubin,2020,5,27,    21.2,    14.4,    18.6,    20.2,    27.3,    31.2,    24.1,     2.3,    22.4
Pulau Ubin,2020,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,5,29,     0.2,     0.2,     0.2,     0.2,    28.7,    33.7,    26.7,     3.0,    23.0
Pulau Ubin,2020,5,30,-,-,-,-,-,-,-,-,-
Pulau Ubin,2020,5,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
