Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2019,3,1,0,0,0,0,27.6,32.1,24.2,18,49.3
Pulau Ubin,2019,3,2,0,0,0,0,27.8,32.3,24.1,13.7,41.4
Pulau Ubin,2019,3,3,0,0,0,0,27.2,32.8,22.6,11.9,31
Pulau Ubin,2019,3,4,0,0,0,0,27.4,33.2,22.8,9.7,27.4
Pulau Ubin,2019,3,5,0,0,0,0,28,34.4,23.4,11.5,31.7
Pulau Ubin,2019,3,6,0,0,0,0,27.9,32.7,25.5,16.9,49.3
Pulau Ubin,2019,3,7,0,0,0,0,28.8,34.5,25.5,10.1,27.7
Pulau Ubin,2019,3,8,0,0,0,0,28.5,34.2,25.1,10.8,38.9
Pulau Ubin,2019,3,9,0,0,0,0,28.5,34.4,24.9,10.8,28.8
Pulau Ubin,2019,3,10,0,0,0,0,28.9,34.9,25.2,14,38.5
Pulau Ubin,2019,3,11,40.8,32,39.6,40.8,26.6,32.9,22.1,22,46.4
Pulau Ubin,2019,3,12,2.6,1.8,1.8,1.8,—,35.7,23.6,20.9,53.3
Pulau Ubin,2019,3,13,0,0,0,0,28,33.2,23.7,17.3,51.1
Pulau Ubin,2019,3,14,0,0,0,0,27.9,33.2,23.9,22.3,46.1
Pulau Ubin,2019,3,15,0,0,0,0,27.6,33.5,23.7,24.1,47.9
Pulau Ubin,2019,3,16,0,0,0,0,27.8,33.4,23,24.5,50.8
Pulau Ubin,2019,3,17,0,0,0,0,27.9,32.9,24,20.2,44.3
Pulau Ubin,2019,3,18,0,0,0,0,27.4,33.7,22.8,27.7,51.8
Pulau Ubin,2019,3,19,0,0,0,0,27.9,33.1,23.2,22.7,55.1
Pulau Ubin,2019,3,20,0,0,0,0,28.4,32.8,24.6,11.5,31.7
Pulau Ubin,2019,3,21,13,10.8,12.8,13,27.4,33.6,22.7,16.2,73.4
Pulau Ubin,2019,3,22,0.2,0.2,0.2,0.2,27.7,34.1,23.9,14.4,57.6
Pulau Ubin,2019,3,23,2.6,1.8,2,2.6,28.1,34.3,25.1,11.2,42.8
Pulau Ubin,2019,3,24,0.2,0.2,0.2,0.2,27.7,33.1,25.1,14.8,31.3
Pulau Ubin,2019,3,25,16.8,15.8,16,16.6,27.6,32.6,24.9,25.2,82.8
Pulau Ubin,2019,3,26,0,0,0,0,28.9,33.3,25.5,21.2,46.8
Pulau Ubin,2019,3,27,0,0,0,0,29.1,33.4,25.8,17.3,40
Pulau Ubin,2019,3,28,2.4,2.2,2.2,2.4,27,33.5,23.5,16.9,53.6
Pulau Ubin,2019,3,29,0,0,0,0,28.2,33.2,23.8,13,34.2
Pulau Ubin,2019,3,30,0,0,0,0,27.1,30.7,25.2,12.2,32
Pulau Ubin,2019,3,31,0,0,0,0,27.8,31.1,25.3,13.3,27.4
