Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,10,1,     0.0,     0.0,     0.0,     0.0,    27.9,    33.0,    25.0,     3.2,    22.6
Pulau Ubin,2023,10,2,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.5,     3.4,    20.9
Pulau Ubin,2023,10,3,     2.0,     1.6,     2.0,     2.0,    27.3,    31.6,    25.0,     2.9,    20.6
Pulau Ubin,2023,10,4,     0.0,     0.0,     0.0,     0.0,    28.1,    33.6,    24.5,     2.9,    20.9
Pulau Ubin,2023,10,5,     0.0,     0.0,     0.0,     0.0,    29.0,    34.2,    25.4,     3.6,    20.9
Pulau Ubin,2023,10,6,     0.0,     0.0,     0.0,     0.0,    29.0,    33.5,    25.8,     3.3,    20.2
Pulau Ubin,2023,10,7,     0.0,     0.0,     0.0,     0.0,    29.1,    33.5,    26.0,     3.5,    16.9
Pulau Ubin,2023,10,8,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.6,     3.3,    21.7
Pulau Ubin,2023,10,9,     0.0,     0.0,     0.0,     0.0,    28.8,    34.6,    25.9,     3.5,    28.2
Pulau Ubin,2023,10,10,     0.0,     0.0,     0.0,     0.0,    28.8,    34.5,    25.7,     3.2,    19.1
Pulau Ubin,2023,10,11,     0.0,     0.0,     0.0,     0.0,    28.8,    34.1,    25.5,     3.6,    20.2
Pulau Ubin,2023,10,12,     0.0,     0.0,     0.0,     0.0,    29.4,    35.1,    25.8,     3.6,    18.0
Pulau Ubin,2023,10,13,     0.0,     0.0,     0.0,     0.0,    29.2,    34.5,    25.4,     3.3,    21.7
Pulau Ubin,2023,10,14,     0.0,     0.0,     0.0,     0.0,    29.4,    35.0,    25.6,     3.2,    18.7
Pulau Ubin,2023,10,15,     0.0,     0.0,     0.0,     0.0,    29.4,    34.8,    25.8,     3.5,    22.4
Pulau Ubin,2023,10,16,     0.4,     0.4,     0.4,     0.4,    29.4,    34.3,    26.0,     2.9,    20.9
Pulau Ubin,2023,10,17,     0.0,     0.0,     0.0,     0.4,    29.5,    35.4,    25.8,     3.3,    19.4
Pulau Ubin,2023,10,18,    67.8,    24.4,    46.8,    64.4,    27.2,    33.4,    23.1,     2.9,    23.0
Pulau Ubin,2023,10,19,     0.2,     0.2,     0.2,     0.2,    28.3,    33.7,    24.7,     4.0,    22.0
Pulau Ubin,2023,10,20,     0.8,     0.8,     0.8,     0.8,    27.6,    33.6,    25.4,     3.0,    19.4
Pulau Ubin,2023,10,21,     2.8,     2.8,     2.8,     2.8,    27.3,    34.1,    24.7,     3.6,    19.4
Pulau Ubin,2023,10,22,     0.0,     0.0,     0.0,     0.0,    27.4,    32.9,    24.5,     3.1,    18.3
Pulau Ubin,2023,10,23,    16.0,    13.6,    13.6,    13.6,    27.0,    32.9,    24.0,     3.5,    29.4
Pulau Ubin,2023,10,24,     0.0,     0.0,     0.0,     0.0,    27.7,    34.5,    23.9,     3.9,    20.9
Pulau Ubin,2023,10,25,     0.4,     0.2,     0.2,     0.2,    26.5,    32.6,    24.3,     3.7,    21.7
Pulau Ubin,2023,10,26,     0.8,     0.8,     0.8,     0.8,    28.2,    34.1,    24.0,     3.2,    22.4
Pulau Ubin,2023,10,27,     0.0,     0.0,     0.0,     0.0,    28.7,    33.6,    25.0,     3.4,    17.6
Pulau Ubin,2023,10,28,     1.0,     0.4,     0.8,     0.8,    26.5,    30.6,    25.1,     2.3,    20.9
Pulau Ubin,2023,10,29,     2.0,     2.0,     2.0,     2.0,    28.2,    34.2,    24.8,     3.4,    16.5
Pulau Ubin,2023,10,30,     9.6,     7.4,     9.2,     9.4,    27.8,    34.6,    24.5,     3.2,    17.2
Pulau Ubin,2023,10,31,     0.2,     0.2,     0.2,     0.2,    28.0,    33.3,    24.3,     3.6,    19.1
