Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2019,9,1,0,0,0,0,28.4,33.9,24.4,—,—
Pulau Ubin,2019,9,2,0,0,0,0,29.2,34.4,25.4,—,—
Pulau Ubin,2019,9,3,0,0,0,0,29.2,34,26.3,—,—
Pulau Ubin,2019,9,4,5.2,4.6,5.2,5.2,28.4,33.7,23.5,—,—
Pulau Ubin,2019,9,5,0,0,0,0,28.8,32.9,25.9,—,—
Pulau Ubin,2019,9,6,0,0,0,0,28.7,33.1,25.6,—,—
Pulau Ubin,2019,9,7,0,0,0,0,28.9,32.9,26.2,—,—
Pulau Ubin,2019,9,8,0,0,0,0,28.5,33,25.2,—,—
Pulau Ubin,2019,9,9,0,0,0,0,28.8,33.1,26.4,—,—
Pulau Ubin,2019,9,10,0,0,0,0,28.8,34.3,26.7,—,—
Pulau Ubin,2019,9,11,0,0,0,0,28.9,34.5,24.9,—,—
Pulau Ubin,2019,9,12,0,0,0,0,28.6,34.5,24.9,—,—
Pulau Ubin,2019,9,13,0,0,0,0,28.8,33.6,25.1,—,—
Pulau Ubin,2019,9,14,0.2,0.2,0.2,0.2,28,30.8,25.6,—,—
Pulau Ubin,2019,9,15,0,0,0,0,28.2,32.6,26.3,—,—
Pulau Ubin,2019,9,16,0,0,0,0,28.4,33.3,25.2,—,—
Pulau Ubin,2019,9,17,0,0,0,0,28.6,32.9,25.8,—,—
Pulau Ubin,2019,9,18,0,0,0,0,29,33,26.9,—,—
Pulau Ubin,2019,9,19,0,0,0,0,29,33.8,26.2,—,—
Pulau Ubin,2019,9,20,0,0,0,0,28.8,33.8,26.1,—,—
Pulau Ubin,2019,9,21,0,0,0,0,28.8,34.1,25.5,—,—
Pulau Ubin,2019,9,22,0,0,0,0,28.9,34.1,25.7,—,—
Pulau Ubin,2019,9,23,0.2,0.2,0.2,0.2,27.9,31.2,25.4,—,—
Pulau Ubin,2019,9,24,1,1,1,1,28.6,34.6,24.7,—,—
Pulau Ubin,2019,9,25,62.4,38.4,53.6,57,25.4,29.7,23.4,—,—
Pulau Ubin,2019,9,26,0,0,0,0,28.1,33.8,24.6,—,—
Pulau Ubin,2019,9,27,0,0,0,0,28.4,33.7,25.5,—,—
Pulau Ubin,2019,9,28,0,0,0,0,28.3,34.9,24.6,—,—
Pulau Ubin,2019,9,29,1.6,1,1,1,27.4,33.2,25,—,—
Pulau Ubin,2019,9,30,9.6,7.8,7.8,7.8,26.5,31.3,23.8,—,—
