Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,5,1,     2.8,     2.8,     2.8,     2.8,    27.9,    32.7,    24.5,     4.1,    19.8
Pulau Ubin,2021,5,2,     0.0,     0.0,     0.0,     0.0,    28.8,    33.4,    25.1,     4.2,    18.7
Pulau Ubin,2021,5,3,     0.0,     0.0,     0.0,     0.0,    28.8,    33.5,    25.9,     3.9,    20.6
Pulau Ubin,2021,5,4,     0.0,     0.0,     0.0,     0.0,    28.8,    34.0,    25.8,     4.0,    17.6
Pulau Ubin,2021,5,5,     0.6,     0.6,     0.6,     0.6,    27.3,    33.0,    25.1,     3.5,    26.3
Pulau Ubin,2021,5,6,     6.0,     4.8,     5.0,     5.4,    27.0,    31.2,    24.7,     2.4,    15.2
Pulau Ubin,2021,5,7,     0.0,     0.0,     0.0,     0.0,    28.2,    32.8,    25.3,     3.8,    20.6
Pulau Ubin,2021,5,8,     0.6,     0.4,     0.6,     0.6,    27.6,    30.9,    25.6,     2.6,    19.1
Pulau Ubin,2021,5,9,    21.0,    13.4,    19.6,    20.8,    27.0,    34.3,    24.9,     2.5,    19.1
Pulau Ubin,2021,5,10,     0.0,     0.0,     0.0,     0.0,    28.8,    34.5,    25.1,     3.2,    22.0
Pulau Ubin,2021,5,11,     0.0,     0.0,     0.0,     0.0,    29.2,    34.7,    26.3,     3.6,    24.4
Pulau Ubin,2021,5,12,     3.4,     2.2,     2.6,     3.4,    27.8,    32.7,    25.2,     3.4,    19.1
Pulau Ubin,2021,5,13,     0.0,     0.0,     0.0,     0.0,    28.2,    33.4,    25.1,     2.9,    23.7
Pulau Ubin,2021,5,14,     0.0,     0.0,     0.0,     0.0,    27.9,    31.7,    26.4,     2.9,    23.3
Pulau Ubin,2021,5,15,     2.0,     1.4,     1.6,     1.8,    27.7,    32.9,    25.2,     3.3,    24.4
Pulau Ubin,2021,5,16,     0.0,     0.0,     0.0,     0.0,    28.7,    34.1,    25.4,     2.7,    18.0
Pulau Ubin,2021,5,17,     3.0,     1.4,     2.6,     2.8,    27.7,    31.1,    25.2,     2.5,    19.4
Pulau Ubin,2021,5,18,    89.2,    37.0,    44.6,    45.2,    25.8,    29.9,    22.7,     3.4,    24.4
Pulau Ubin,2021,5,19,     0.0,     0.0,     0.0,     0.0,    27.4,    30.8,    25.2,     2.1,    11.5
Pulau Ubin,2021,5,20,     1.0,     1.0,     1.0,     1.0,    27.7,    32.5,    25.0,     2.7,    23.0
Pulau Ubin,2021,5,21,    29.4,    17.8,    21.2,    29.2,    27.0,    33.0,    24.0,     2.8,    28.2
Pulau Ubin,2021,5,22,     0.0,     0.0,     0.0,     0.0,    27.2,    31.5,    25.1,     3.6,    19.8
Pulau Ubin,2021,5,23,     0.0,     0.0,     0.0,     0.0,    28.8,    34.1,    25.3,     3.2,    18.7
Pulau Ubin,2021,5,24,     0.0,     0.0,     0.0,     0.0,    29.3,    33.7,    26.2,     3.3,    20.9
Pulau Ubin,2021,5,25,     0.0,     0.0,     0.0,     0.0,    29.5,    33.2,    26.2,     4.0,    22.0
Pulau Ubin,2021,5,26,     0.0,     0.0,     0.0,     0.0,    29.0,    32.7,    26.5,     3.0,    19.4
Pulau Ubin,2021,5,27,     1.8,     1.6,     1.8,     1.8,    28.6,    33.7,    25.8,     2.8,    20.9
Pulau Ubin,2021,5,28,     0.0,     0.0,     0.0,     0.0,    28.4,    33.9,    25.1,     3.2,    19.4
Pulau Ubin,2021,5,29,     0.0,     0.0,     0.0,     0.0,    27.7,    31.7,    25.8,     2.9,    16.5
Pulau Ubin,2021,5,30,     0.0,     0.0,     0.0,     0.0,    28.3,    34.6,    25.8,     3.0,    19.1
Pulau Ubin,2021,5,31,-,-,-,-,-,-,-,-,-
