Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,2,1,0,0,0,0,27.9,31.1,25.3,8.6,29.2
Pulau Ubin,2020,2,2,0,0,0,0,27.6,31.2,25.9,9,36.4
Pulau Ubin,2020,2,3,0,0,0,0,27.6,31.5,24.9,7.6,25.6
Pulau Ubin,2020,2,4,0,0,0,0,26.9,31.4,23.3,6.5,24.5
Pulau Ubin,2020,2,5,0,0,0,0,27.1,32,22.9,6.5,26.6
Pulau Ubin,2020,2,6,0,0,0,0,27.8,32,24.8,7.6,27.7
Pulau Ubin,2020,2,7,0,0,0,0,27.6,31.3,25.3,8.3,30.6
Pulau Ubin,2020,2,8,0,0,0,0,27,31.7,23.2,5.8,25.6
Pulau Ubin,2020,2,9,15.4,6.6,6.8,6.8,25.7,29.8,23.7,5,27.4
Pulau Ubin,2020,2,10,0.2,0.2,0.2,0.2,26.8,31.5,23.8,4.7,21.6
Pulau Ubin,2020,2,11,4.6,2.8,3,3,26.6,30.8,24.6,4,21.2
Pulau Ubin,2020,2,12,0.2,0.2,0.2,0.2,27.6,32,24.8,5,22
Pulau Ubin,2020,2,13,0.6,0.6,0.6,0.6,28,32.1,25.4,6.5,24.8
Pulau Ubin,2020,2,14,0,0,0,0,27.8,32.1,24.8,5.8,22.7
Pulau Ubin,2020,2,15,0,0,0,0,27.5,32.8,23.8,4,19.4
Pulau Ubin,2020,2,16,17.8,12.6,17.6,17.8,27.2,33,23.3,4,23
Pulau Ubin,2020,2,17,0.4,0.4,0.4,0.4,27.7,32.7,24.3,6.1,25.9
Pulau Ubin,2020,2,18,9,3.2,3.2,3.2,25.9,29.6,23.8,5,26.6
Pulau Ubin,2020,2,19,8,5.6,8,8,27.6,31.1,24.9,9,29.9
Pulau Ubin,2020,2,20,2.4,2.4,2.4,2.4,27.6,31.2,24.9,9.4,33.8
Pulau Ubin,2020,2,21,14.8,7.8,8.6,8.6,26.9,30.1,23.6,8.3,33.8
Pulau Ubin,2020,2,22,1,0.4,0.4,0.6,27.5,31.2,25.1,9.4,33.5
Pulau Ubin,2020,2,23,0,0,0,0,27.8,31.6,25.2,9.7,33.1
Pulau Ubin,2020,2,24,0.6,0.6,0.6,0.6,27.1,30.4,24.9,8.6,31.7
Pulau Ubin,2020,2,25,0,0,0,0,27.8,31.6,24.5,7.9,26.6
Pulau Ubin,2020,2,26,0,0,0,0,27.9,31.8,25,8.6,29.2
Pulau Ubin,2020,2,27,0,0,0,0,27.9,32.1,24.5,7.2,24.5
Pulau Ubin,2020,2,28,0,0,0,0,27.9,31.8,25.4,7.9,27.4
Pulau Ubin,2020,2,29,0,0,0,0,27.6,31.6,23.9,7.6,31
