Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,5,1,     0.0,     0.0,     0.0,     0.0,    28.2,    32.5,    25.9,     2.7,    15.2
Pulau Ubin,2022,5,2,     0.4,     0.4,     0.4,     0.4,    27.7,    31.6,    24.5,     4.2,    35.0
Pulau Ubin,2022,5,3,     1.8,     1.0,     1.4,     1.6,    28.2,    33.1,    24.2,     3.9,    18.7
Pulau Ubin,2022,5,4,     8.2,     5.2,     5.6,     7.0,    27.7,    30.9,    24.2,     4.0,    24.8
Pulau Ubin,2022,5,5,     0.0,     0.0,     0.0,     0.0,    28.8,    32.9,    26.5,     3.4,    16.5
Pulau Ubin,2022,5,6,     0.0,     0.0,     0.0,     0.0,    29.4,    34.6,    26.3,     3.1,    20.9
Pulau Ubin,2022,5,7,     2.8,     0.8,     1.2,     1.6,    27.1,    32.3,    24.7,     3.2,    31.7
Pulau Ubin,2022,5,8,     1.4,     0.6,     0.6,     0.8,    27.2,    30.5,    24.6,     2.7,    19.1
Pulau Ubin,2022,5,9,     1.4,     1.0,     1.2,     1.4,    29.6,    33.8,    26.7,     4.0,    20.9
Pulau Ubin,2022,5,10,     0.0,     0.0,     0.0,     0.0,    29.7,    34.6,    26.3,     3.5,    17.6
Pulau Ubin,2022,5,11,    19.8,     9.4,    13.0,    17.8,    27.1,    30.6,    24.4,     2.6,    24.8
Pulau Ubin,2022,5,12,     0.0,     0.0,     0.0,     0.0,    29.1,    34.1,    25.8,     4.7,    25.6
Pulau Ubin,2022,5,13,     2.0,     1.4,     1.6,     2.0,    28.1,    33.8,    25.4,     3.2,    17.2
Pulau Ubin,2022,5,14,     6.8,     6.0,     6.4,     6.8,    28.6,    33.6,    25.6,     2.9,    17.2
Pulau Ubin,2022,5,15,    22.6,    20.2,    22.6,    22.6,    27.7,    34.1,    23.4,     3.4,    24.1
Pulau Ubin,2022,5,16,     2.8,     2.2,     2.2,     2.2,    26.8,    32.9,    24.2,     3.8,    26.7
Pulau Ubin,2022,5,17,     0.0,     0.0,     0.0,     0.0,    28.6,    33.2,    24.9,     3.4,    18.0
Pulau Ubin,2022,5,18,     0.0,     0.0,     0.0,     0.0,    29.4,    34.5,    25.9,     3.4,    21.3
Pulau Ubin,2022,5,19,    11.0,    10.2,    11.0,    11.0,    27.3,    32.6,    24.8,     2.7,    21.3
Pulau Ubin,2022,5,20,    30.4,    24.4,    29.8,    30.4,    27.2,    33.6,    23.1,     3.0,    35.9
Pulau Ubin,2022,5,21,     0.0,     0.0,     0.0,     0.0,    27.4,    33.7,    24.2,     2.8,    22.6
Pulau Ubin,2022,5,22,     0.0,     0.0,     0.0,     0.0,    28.6,    33.8,    25.9,     3.5,    23.0
Pulau Ubin,2022,5,23,    32.4,    15.8,    19.0,    28.0,    28.1,    34.5,    24.2,     3.7,    24.1
Pulau Ubin,2022,5,24,     0.0,     0.0,     0.0,     0.0,    28.6,    34.2,    24.1,     3.7,    21.3
Pulau Ubin,2022,5,25,    40.4,    23.0,    28.4,    33.2,    27.4,    34.0,    23.8,     4.1,    29.4
Pulau Ubin,2022,5,26,     0.0,     0.0,     0.0,     0.0,    27.8,    33.9,    23.5,     3.0,    14.4
Pulau Ubin,2022,5,27,     0.0,     0.0,     0.0,     0.0,    28.8,    34.2,    25.6,     3.2,    20.6
Pulau Ubin,2022,5,28,     0.0,     0.0,     0.0,     0.0,    28.7,    34.3,    25.5,     3.8,    23.0
Pulau Ubin,2022,5,29,     0.0,     0.0,     0.0,     0.0,    29.3,    35.1,    25.6,     3.8,    23.0
Pulau Ubin,2022,5,30,     0.2,     0.2,     0.2,     0.2,    29.0,    33.9,    25.7,     2.8,    18.7
Pulau Ubin,2022,5,31,    27.6,    23.2,    27.6,    27.6,    28.9,    34.1,    25.1,     3.2,    25.6
