Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2019,6,1,5,3.8,4,4,27,31.8,25.3,—,—
Pulau Ubin,2019,6,2,43.6,26.6,36.8,40.8,27.9,33.6,24.7,—,—
Pulau Ubin,2019,6,3,31.4,11.8,23.2,29,25.9,32.1,23.5,—,—
Pulau Ubin,2019,6,4,0.4,0.2,0.2,0.2,27.5,31.9,25.1,—,—
Pulau Ubin,2019,6,5,0,0,0,0,28.4,32.9,25.8,—,—
Pulau Ubin,2019,6,6,8,5.6,6.4,7.4,26.2,27.9,24.7,—,—
Pulau Ubin,2019,6,7,—,—,—,—,—,—,—,—,—
Pulau Ubin,2019,6,8,—,—,—,—,—,—,—,—,—
Pulau Ubin,2019,6,9,5.2,3,3,3,27.8,31.7,25.6,—,—
Pulau Ubin,2019,6,10,0,0,0,0,29.4,33.6,26.2,—,—
Pulau Ubin,2019,6,11,0.8,0.6,0.6,0.8,29.1,33.9,25.3,—,—
Pulau Ubin,2019,6,12,9.2,3.8,4.8,6.6,26.7,29.8,24,—,—
Pulau Ubin,2019,6,13,1,0.8,1,1,27.9,30.8,26.1,—,—
Pulau Ubin,2019,6,14,2.2,1,1,1,28.2,33.7,26.1,—,—
Pulau Ubin,2019,6,15,0.2,0.2,0.2,0.2,27.5,31.2,25.6,—,—
Pulau Ubin,2019,6,16,0,0,0,0,28.7,33.2,25.4,—,—
Pulau Ubin,2019,6,17,2.8,1.6,1.6,1.8,28.3,33.1,26.3,—,—
Pulau Ubin,2019,6,18,18.8,12,14.6,15.2,26.2,28.9,24.3,—,—
Pulau Ubin,2019,6,19,0.2,0.2,0.2,0.2,27.2,29.8,25.8,—,—
Pulau Ubin,2019,6,20,11.4,5.2,6,8,—,—,—,—,—
Pulau Ubin,2019,6,21,17.4,7.6,10.6,11,27,32.3,24.7,—,—
Pulau Ubin,2019,6,22,18.4,9.4,11.4,13.2,25.5,30.5,23,—,—
Pulau Ubin,2019,6,23,0,0,0,0,—,—,—,—,—
Pulau Ubin,2019,6,24,0.2,0.2,0.2,0.2,27.8,32,26,—,—
Pulau Ubin,2019,6,25,0,0,0,0,28.9,32.1,26.3,—,—
Pulau Ubin,2019,6,26,0,0,0,0,27.5,32,25.4,—,—
Pulau Ubin,2019,6,27,0,0,0,0,28.3,33.2,24.9,—,—
Pulau Ubin,2019,6,28,0,0,0,0,28.7,32.2,26.1,—,—
Pulau Ubin,2019,6,29,1,0.8,0.8,0.8,28.3,32.6,25.3,—,—
Pulau Ubin,2019,6,30,0.6,0.6,0.6,0.6,28.2,32.6,25.6,—,—
