Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,12,1,     0.0,-,-,-,-,-,-,-,-
Pulau Ubin,2020,12,2,     6.8,     6.4,     6.4,     6.4,-,-,-,-,-
Pulau Ubin,2020,12,3,    60.6,    42.4,    52.2,    56.6,-,-,-,-,-
Pulau Ubin,2020,12,4,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Pulau Ubin,2020,12,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,12,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,12,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2020,12,9,     9.6,     8.0,     9.6,     9.6,-,-,-,-,-
Pulau Ubin,2020,12,10,    20.0,    15.2,    18.4,    19.0,-,-,-,-,-
Pulau Ubin,2020,12,11,     0.2,     0.2,     0.2,     0.2,    26.9,    32.3,    22.7,     4.0,    26.3
Pulau Ubin,2020,12,12,    23.0,     9.8,    10.8,    18.2,    25.9,    31.6,    22.7,     4.3,    23.3
Pulau Ubin,2020,12,13,     1.6,     0.4,     0.6,     0.8,    26.5,    31.1,    22.8,     3.9,    19.1
Pulau Ubin,2020,12,14,    39.6,    29.2,    31.8,    32.0,    25.9,    31.7,    23.6,     3.8,    19.4
Pulau Ubin,2020,12,15,     0.4,     0.2,     0.2,     0.2,    26.6,    31.9,    23.6,     3.9,    22.4
Pulau Ubin,2020,12,16,     9.0,     4.2,     5.0,     5.2,    25.6,    28.6,    23.8,     3.0,    18.3
Pulau Ubin,2020,12,17,     0.0,     0.0,     0.0,     0.0,    26.6,    31.7,    24.3,     4.2,    20.9
Pulau Ubin,2020,12,18,    14.6,     6.0,     8.0,     8.2,    25.1,    27.0,    22.5,     4.0,    23.0
Pulau Ubin,2020,12,19,     0.0,     0.0,     0.0,     0.0,    26.1,    29.8,    24.1,     4.7,    19.4
Pulau Ubin,2020,12,20,     1.2,     1.0,     1.0,     1.2,    26.5,    30.8,    24.1,     5.9,    27.4
Pulau Ubin,2020,12,21,     0.0,     0.0,     0.0,     0.0,    26.9,    31.1,    24.7,     4.3,    28.5
Pulau Ubin,2020,12,22,     0.0,     0.0,     0.0,     0.0,    27.7,    32.3,    24.5,     5.3,    23.7
Pulau Ubin,2020,12,23,     2.4,     1.6,     2.2,     2.2,    27.1,    31.9,    24.4,     4.0,    19.4
Pulau Ubin,2020,12,24,    10.8,     8.4,    10.4,    10.8,    26.0,    29.4,    24.2,     2.4,    12.6
Pulau Ubin,2020,12,25,    55.4,    45.4,    54.8,    55.4,    27.4,    33.6,    24.2,     3.3,    20.2
Pulau Ubin,2020,12,26,     1.0,     0.4,     0.8,     1.0,    27.4,    31.8,    23.5,     5.5,    23.0
Pulau Ubin,2020,12,27,     0.0,     0.0,     0.0,     0.0,    26.8,    31.4,    23.3,     5.1,    21.7
Pulau Ubin,2020,12,28,     0.0,     0.0,     0.0,     0.0,    27.6,    31.2,    24.7,     6.4,    25.6
Pulau Ubin,2020,12,29,     5.6,     5.4,     5.4,     5.6,    26.0,    30.6,    23.8,     3.4,    23.7
Pulau Ubin,2020,12,30,     0.0,     0.0,     0.0,     0.0,    27.1,    31.6,    24.0,     5.1,    26.3
Pulau Ubin,2020,12,31,     0.0,     0.0,     0.0,     0.0,    27.0,    31.6,    23.8,     5.7,    25.6
