Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,3,1,0,0,0,0,27.3,32.7,23.6,6.5,26.3
Pulau Ubin,2020,3,2,0,0,0,0,27.4,32.4,23.6,6.5,27.7
Pulau Ubin,2020,3,3,0,0,0,0,27.9,32.5,24.6,7.2,27.7
Pulau Ubin,2020,3,4,0,0,0,0,28.3,32.5,25,6.5,25.6
Pulau Ubin,2020,3,5,0,0,0,0,27.5,30.9,25.5,3.6,15.8
Pulau Ubin,2020,3,6,0,0,0,0,27.7,31.5,25.5,4.7,21.2
Pulau Ubin,2020,3,7,23.4,20,22.6,22.6,27,33.1,24.8,4,24.8
Pulau Ubin,2020,3,8,16.6,10,15.8,16.6,26.7,32.9,24,2.5,15.1
Pulau Ubin,2020,3,9,0.2,0.2,0.2,0.2,27.8,33.4,24.1,3.6,16.9
Pulau Ubin,2020,3,10,0,0,0,0,28.6,33.8,24.8,4.3,18
Pulau Ubin,2020,3,11,0,0,0,0,28.8,35,25.4,5,18
Pulau Ubin,2020,3,12,0,0,0,0,28.2,32.9,24.6,6.5,27.4
Pulau Ubin,2020,3,13,0,0,0,0,28.6,34.3,24.5,5,20.5
Pulau Ubin,2020,3,14,0,0,0,0,28.7,33.5,25.8,5.8,22
Pulau Ubin,2020,3,15,0,0,0,0,28.7,33.1,25.6,6.8,25.6
Pulau Ubin,2020,3,16,0,0,0,0,28.7,32.5,25.8,8.3,30.2
Pulau Ubin,2020,3,17,0,0,0,0,28.2,33,24.5,7.2,31
Pulau Ubin,2020,3,18,0,0,0,0,28.2,33.1,24.3,6.8,27.7
Pulau Ubin,2020,3,19,0,0,0,0,27.7,33.2,24,4.7,19.4
Pulau Ubin,2020,3,20,0,0,0,0,27.6,32.6,24.2,4.3,22
Pulau Ubin,2020,3,21,6.2,4.6,5.6,6,27,32.6,25,3.2,23.4
Pulau Ubin,2020,3,22,17.4,17,17.4,17.4,27.2,33.6,24.6,3.6,24.1
Pulau Ubin,2020,3,23,87.8,45.2,68.8,78,25.9,30.3,23.7,2.9,20.2
Pulau Ubin,2020,3,24,0.6,0.4,0.4,0.4,27.4,32.7,23.9,5,28.4
Pulau Ubin,2020,3,25,0,0,0,0,28.3,33.6,24.6,4.7,20.9
Pulau Ubin,2020,3,26,0,0,0,0,28.4,33.4,24.8,5,22
Pulau Ubin,2020,3,27,0,0,0,0,28.2,33.4,25.1,4.7,25.6
Pulau Ubin,2020,3,28,0,0,0,0,28.2,33.4,24.6,4,20.2
Pulau Ubin,2020,3,29,0,0,0,0,28.3,33.3,25.1,5.8,24.5
Pulau Ubin,2020,3,30,0.2,0.2,0.2,0.2,28.2,33.4,24.2,4,19.8
Pulau Ubin,2020,3,31,0,0,0,0,28.5,34,25.3,4.3,24.1
