Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,3,1,     0.0,     0.0,     0.0,     0.0,    27.2,    31.2,    24.3,     5.1,    23.3
Pulau Ubin,2022,3,2,    11.4,     9.4,    10.8,    11.2,    26.4,    32.2,    22.6,     5.0,    30.2
Pulau Ubin,2022,3,3,     2.2,     1.4,     1.4,     2.0,    27.0,    32.2,    24.7,     4.9,    31.3
Pulau Ubin,2022,3,4,     0.2,     0.2,     0.2,     0.2,    27.4,    31.3,    24.7,     6.0,    23.0
Pulau Ubin,2022,3,5,    29.2,    11.6,    18.2,    21.8,    26.4,    33.8,    22.7,     3.5,    25.6
Pulau Ubin,2022,3,6,     1.6,     0.6,     0.8,     1.4,    26.2,    31.2,    24.2,     2.6,    14.8
Pulau Ubin,2022,3,7,     2.4,     1.0,     1.4,     2.4,    26.9,    32.1,    24.8,     4.2,    25.6
Pulau Ubin,2022,3,8,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    24.7,     3.9,    20.6
Pulau Ubin,2022,3,9,     0.0,     0.0,     0.0,     0.0,    27.7,    31.2,    24.8,     5.6,    25.2
Pulau Ubin,2022,3,10,     4.2,     4.0,     4.2,     4.2,    27.4,    31.9,    23.7,     5.7,    34.3
Pulau Ubin,2022,3,11,     6.0,     3.0,     4.2,     5.8,    27.0,    33.0,    24.7,     4.2,    19.8
Pulau Ubin,2022,3,12,     0.0,     0.0,     0.0,     0.0,    27.7,    33.8,    23.9,     6.0,    30.6
Pulau Ubin,2022,3,13,     0.0,     0.0,     0.0,     0.0,    27.7,    34.6,    23.4,     3.9,    21.3
Pulau Ubin,2022,3,14,     0.0,     0.0,     0.0,     0.0,    28.3,    32.5,    25.5,     4.1,    19.4
Pulau Ubin,2022,3,15,    20.8,    10.4,    16.6,    20.4,    25.9,    32.0,    23.2,     3.4,    20.9
Pulau Ubin,2022,3,16,     1.4,     1.4,     1.4,     1.4,    27.6,    33.0,    23.5,     3.3,    18.0
Pulau Ubin,2022,3,17,     9.4,     7.0,     8.4,     8.4,    27.0,    33.0,    24.4,     2.8,    22.0
Pulau Ubin,2022,3,18,     0.4,     0.2,     0.2,     0.2,    27.3,    32.9,    25.0,     4.1,    20.9
Pulau Ubin,2022,3,19,     0.0,     0.0,     0.0,     0.0,    27.9,    33.9,    25.1,     3.7,    18.3
Pulau Ubin,2022,3,20,     0.0,     0.0,     0.0,     0.0,    28.3,    33.9,    25.9,     3.4,    18.3
Pulau Ubin,2022,3,21,    10.2,     5.8,     9.0,    10.2,    27.5,    33.3,    21.8,     3.1,    35.9
Pulau Ubin,2022,3,22,     1.4,     0.8,     1.2,     1.4,    27.7,    31.9,    26.2,     3.0,    16.9
Pulau Ubin,2022,3,23,     0.0,     0.0,     0.0,     0.0,    27.5,    32.9,    25.4,     3.2,    28.5
Pulau Ubin,2022,3,24,     2.2,     1.2,     1.6,     2.2,    27.1,    33.5,    23.4,     3.6,    18.3
Pulau Ubin,2022,3,25,     0.0,     0.0,     0.0,     0.0,    27.6,    33.4,    24.8,     3.4,    31.7
Pulau Ubin,2022,3,26,    20.4,    16.0,    20.0,    20.4,    27.3,    33.3,    24.0,     3.8,    17.6
Pulau Ubin,2022,3,27,     0.0,     0.0,     0.0,     0.0,    27.3,    33.6,    23.1,     3.3,    18.0
Pulau Ubin,2022,3,28,     3.0,     3.0,     3.0,     3.0,    26.9,    34.0,    23.9,     3.2,    28.9
Pulau Ubin,2022,3,29,     0.0,     0.0,     0.0,     0.0,    27.3,    33.0,    24.0,     3.9,    32.8
Pulau Ubin,2022,3,30,     1.0,     0.8,     0.8,     1.0,    27.8,    33.3,    24.7,     2.8,    17.2
Pulau Ubin,2022,3,31,     3.6,     3.6,     3.6,     3.6,    27.0,    33.4,    23.9,     3.0,    31.3
