Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,1,1,   114.8,    23.2,    30.4,    46.6,    24.2,    26.6,    21.8,     6.9,    33.2
Pulau Ubin,2021,1,2,   186.0,    22.8,    38.0,    57.2,    22.9,    24.4,    21.5,     5.6,    37.8
Pulau Ubin,2021,1,3,     4.6,     0.8,     1.4,     2.2,    23.8,    25.3,    22.5,     3.2,    12.2
Pulau Ubin,2021,1,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2021,1,5,     0.2,     0.2,     0.2,     0.2,    26.0,    31.3,    22.8,     5.2,    23.0
Pulau Ubin,2021,1,6,     0.8,     0.4,     0.4,     0.4,    26.3,    29.9,    24.2,     5.1,    25.2
Pulau Ubin,2021,1,7,    10.8,     6.0,     6.6,     7.4,    23.9,    25.3,    23.2,     3.8,    14.8
Pulau Ubin,2021,1,8,    19.0,     4.8,     5.6,     7.0,    25.2,    28.2,    23.7,     4.6,    30.6
Pulau Ubin,2021,1,9,    25.2,    11.6,    15.2,    16.0,    25.2,    28.4,    23.6,     5.7,    26.3
Pulau Ubin,2021,1,10,-,-,-,-,-,-,-,-,-
Pulau Ubin,2021,1,11,-,-,-,-,-,-,-,-,-
Pulau Ubin,2021,1,12,    15.6,     7.8,     8.0,     8.8,    25.3,    28.5,    23.5,     9.0,    35.6
Pulau Ubin,2021,1,13,     2.2,     1.2,     1.2,     1.2,    25.2,    27.9,    23.5,     7.1,    30.9
Pulau Ubin,2021,1,14,     0.0,     0.0,     0.0,     0.2,    25.6,    28.8,    23.0,     6.5,    24.8
Pulau Ubin,2021,1,15,     0.0,     0.0,     0.0,     0.0,    26.6,    30.8,    23.7,     6.2,    22.6
Pulau Ubin,2021,1,16,     0.0,     0.0,     0.0,     0.0,    26.6,    30.3,    23.8,     6.3,    24.8
Pulau Ubin,2021,1,17,     0.0,     0.0,     0.0,     0.0,    26.9,    30.5,    24.9,     9.6,    35.6
Pulau Ubin,2021,1,18,     0.0,     0.0,     0.0,     0.0,    26.3,    28.9,    25.0,    10.5,    40.0
Pulau Ubin,2021,1,19,     0.0,     0.0,     0.0,     0.0,    26.1,    29.4,    23.2,     7.6,    29.1
Pulau Ubin,2021,1,20,     0.0,     0.0,     0.0,     0.0,    26.0,    29.5,    23.5,     6.9,    23.3
Pulau Ubin,2021,1,21,     2.4,     2.2,     2.4,     2.4,    25.9,    30.9,    23.3,     5.8,    23.3
Pulau Ubin,2021,1,22,    13.0,    12.4,    13.0,    13.0,    25.3,    30.5,    22.7,     3.9,    18.7
Pulau Ubin,2021,1,23,    30.6,    18.4,    29.6,    30.6,    25.1,    30.4,    22.7,     4.8,    24.1
Pulau Ubin,2021,1,24,     0.0,     0.0,     0.0,     0.0,    26.2,    31.0,    22.5,     6.3,    23.0
Pulau Ubin,2021,1,25,     0.0,     0.0,     0.0,     0.0,    26.9,    31.4,    24.2,     6.5,    24.1
Pulau Ubin,2021,1,26,     0.0,     0.0,     0.0,     0.0,    26.8,    32.1,    23.6,     6.7,    24.1
Pulau Ubin,2021,1,27,     0.0,     0.0,     0.0,     0.0,    26.4,    30.2,    23.5,     5.8,    22.6
Pulau Ubin,2021,1,28,     8.4,     8.2,     8.4,     8.4,    26.1,    29.8,    23.1,     6.4,    28.2
Pulau Ubin,2021,1,29,     0.0,     0.0,     0.0,     0.0,    26.5,    30.6,    24.0,     8.0,    28.2
Pulau Ubin,2021,1,30,     0.0,     0.0,     0.0,     0.0,    26.6,    30.7,    24.0,     8.4,    31.3
Pulau Ubin,2021,1,31,     2.2,     0.8,     0.8,     0.8,    26.1,    30.0,    23.4,     6.3,    28.2
