Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,12,1,     0.0,     0.0,     0.0,     0.0,    29.2,    33.9,    25.3,     3.5,    20.2
Pulau Ubin,2021,12,2,    24.4,    11.4,    13.4,    21.0,    25.4,    28.2,    22.4,     3.6,    36.7
Pulau Ubin,2021,12,3,     0.0,     0.0,     0.0,     0.0,    26.8,    31.2,    23.9,     4.9,    24.8
Pulau Ubin,2021,12,4,     0.0,     0.0,     0.0,     0.0,    27.1,    31.6,    24.8,     6.4,    30.9
Pulau Ubin,2021,12,5,     0.0,     0.0,     0.0,     0.0,    27.0,    30.0,    25.5,     6.8,    25.2
Pulau Ubin,2021,12,6,     0.0,     0.0,     0.0,     0.0,    27.4,    31.2,    25.2,     6.9,    27.0
Pulau Ubin,2021,12,7,     0.2,     0.2,     0.2,     0.2,    27.8,    31.5,    25.0,     8.4,    33.5
Pulau Ubin,2021,12,8,     0.0,     0.0,     0.0,     0.0,    27.5,    31.3,    25.3,     7.8,    29.4
Pulau Ubin,2021,12,9,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    24.9,     7.2,    27.8
Pulau Ubin,2021,12,10,     3.2,     1.4,     1.8,     2.0,    27.0,    31.5,    24.5,     6.3,    28.9
Pulau Ubin,2021,12,11,    10.2,     9.2,     9.6,     9.6,    26.5,    31.0,    24.5,     4.6,    25.9
Pulau Ubin,2021,12,12,     0.4,     0.4,     0.4,     0.4,    26.3,    29.2,    25.1,     6.1,    24.1
Pulau Ubin,2021,12,13,     0.0,     0.0,     0.0,     0.0,    26.6,    29.6,    24.3,     6.7,    37.0
Pulau Ubin,2021,12,14,     0.0,     0.0,     0.0,     0.0,    27.7,    31.9,    25.2,     7.8,    30.6
Pulau Ubin,2021,12,15,     2.4,     2.4,     2.4,     2.4,    27.5,    32.1,    25.3,     5.2,    25.6
Pulau Ubin,2021,12,16,     0.0,     0.0,     0.0,     0.0,    28.3,    32.8,    24.9,     5.4,    25.2
Pulau Ubin,2021,12,17,    11.0,     4.8,     5.4,     7.2,    26.9,    31.7,    24.7,     5.5,    32.8
Pulau Ubin,2021,12,18,    82.6,    44.6,    62.2,    62.6,    26.6,    31.8,    23.8,     3.3,    16.1
Pulau Ubin,2021,12,19,    16.2,     8.0,    10.6,    13.6,    26.6,    31.0,    23.5,     4.8,    23.7
Pulau Ubin,2021,12,20,     0.0,     0.0,     0.0,     0.0,    27.2,    31.6,    24.3,     4.3,    20.6
Pulau Ubin,2021,12,21,     1.6,     1.6,     1.6,     1.6,    27.5,    32.9,    24.6,     4.8,    21.7
Pulau Ubin,2021,12,22,     0.4,     0.2,     0.2,     0.2,    27.4,    32.9,    25.2,     3.7,    20.6
Pulau Ubin,2021,12,23,     0.0,     0.0,     0.0,     0.0,    26.8,    30.4,    24.9,     2.6,    15.6
Pulau Ubin,2021,12,24,    12.4,     8.2,    11.8,    12.0,    26.4,    31.2,    24.8,     2.9,    28.9
Pulau Ubin,2021,12,25,     0.4,     0.2,     0.2,     0.2,    27.3,    31.0,    24.8,     5.3,    25.6
Pulau Ubin,2021,12,26,     0.0,     0.0,     0.0,     0.0,    27.3,    30.8,    24.6,     6.0,    26.7
Pulau Ubin,2021,12,27,     0.0,     0.0,     0.0,     0.0,    27.9,    33.0,    25.0,     6.9,    27.4
Pulau Ubin,2021,12,28,     0.0,     0.0,     0.0,     0.0,    27.5,    32.1,    24.8,     7.0,    25.2
Pulau Ubin,2021,12,29,     0.2,     0.2,     0.2,     0.2,    27.4,    31.3,    24.6,     5.3,    21.3
Pulau Ubin,2021,12,30,     0.0,     0.0,     0.0,     0.0,    27.3,    30.8,    24.4,     4.6,    18.3
Pulau Ubin,2021,12,31,-,-,-,-,-,    26.8,    23.7,-,    20.2
