Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,2,1,     0.0,     0.0,     0.0,     0.0,    26.6,    30.1,    24.2,     7.2,    28.2
Pulau Ubin,2021,2,2,     0.0,     0.0,     0.0,     0.0,    26.6,    30.1,    24.8,     7.8,    29.4
Pulau Ubin,2021,2,3,     0.0,     0.0,     0.0,     0.0,    26.5,    30.5,    24.4,     7.4,    27.8
Pulau Ubin,2021,2,4,     0.0,     0.0,     0.0,     0.0,    26.4,    30.6,    23.6,     8.3,    30.9
Pulau Ubin,2021,2,5,     0.0,     0.0,     0.0,     0.0,    26.3,    31.2,    22.9,     7.3,    28.5
Pulau Ubin,2021,2,6,     0.0,     0.0,     0.0,     0.0,    27.4,    31.3,    25.1,     8.6,    27.4
Pulau Ubin,2021,2,7,     0.0,     0.0,     0.0,     0.0,    27.3,    32.6,    24.3,     8.9,    35.0
Pulau Ubin,2021,2,8,     0.0,     0.0,     0.0,     0.0,    27.1,    31.3,    24.3,     7.8,    30.6
Pulau Ubin,2021,2,9,     0.0,     0.0,     0.0,     0.0,    27.2,    32.0,    24.4,     6.8,    25.9
Pulau Ubin,2021,2,10,     0.0,     0.0,     0.0,     0.0,    26.9,    30.6,    24.0,     6.3,    22.0
Pulau Ubin,2021,2,11,     4.0,     3.8,     4.0,     4.0,    27.1,    31.8,    24.6,     6.9,    24.8
Pulau Ubin,2021,2,12,     0.2,     0.2,     0.2,     0.2,    27.1,    30.8,    24.5,     7.3,    29.4
Pulau Ubin,2021,2,13,     0.0,     0.0,     0.0,     0.0,    27.2,    31.9,    24.3,     7.4,    28.5
Pulau Ubin,2021,2,14,     0.0,     0.0,     0.0,     0.0,    26.6,    30.1,    24.3,     7.7,    25.9
Pulau Ubin,2021,2,15,     0.0,     0.0,     0.0,     0.0,    26.5,    30.4,    24.0,     7.6,    28.5
Pulau Ubin,2021,2,16,     0.0,     0.0,     0.0,     0.0,    26.3,    30.6,    23.0,     7.2,    27.4
Pulau Ubin,2021,2,17,     0.0,     0.0,     0.0,     0.0,    26.3,    31.0,    22.8,     7.8,    26.7
Pulau Ubin,2021,2,18,     0.0,     0.0,     0.0,     0.0,    26.6,    31.5,    23.4,    10.5,    34.3
Pulau Ubin,2021,2,19,     0.0,     0.0,     0.0,     0.0,    26.8,    31.0,    24.7,     9.9,    32.8
Pulau Ubin,2021,2,20,     0.0,     0.0,     0.0,     0.0,    26.9,    31.2,    24.8,     9.9,    30.9
Pulau Ubin,2021,2,21,     0.0,     0.0,     0.0,     0.0,    26.7,    30.9,    24.7,     8.4,    29.1
Pulau Ubin,2021,2,22,     0.0,     0.0,     0.0,     0.0,    26.7,    31.6,    23.3,     7.6,    27.0
Pulau Ubin,2021,2,23,     0.0,     0.0,     0.0,     0.0,    26.6,    31.8,    22.9,     7.5,    29.1
Pulau Ubin,2021,2,24,     0.2,     0.2,     0.2,     0.2,    26.1,    31.2,    23.0,     6.2,    23.7
Pulau Ubin,2021,2,25,     0.0,     0.0,     0.0,     0.0,    27.0,    32.8,    23.2,     5.3,    20.9
Pulau Ubin,2021,2,26,     0.0,     0.0,     0.0,     0.0,    27.2,    33.0,    22.9,     4.5,    23.3
Pulau Ubin,2021,2,27,     0.0,     0.0,     0.0,     0.0,    27.7,    33.9,    23.9,     3.5,    20.9
Pulau Ubin,2021,2,28,     0.0,     0.0,     0.0,     0.0,    28.0,    34.8,    24.1,     4.9,    21.3
