Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,8,1,     0.4,     0.4,     0.4,     0.4,    27.6,    31.2,    25.9,     3.8,    23.7
Pulau Ubin,2020,8,2,     0.0,     0.0,     0.0,     0.0,    28.5,    33.3,    25.4,     4.5,    20.6
Pulau Ubin,2020,8,3,     0.0,     0.0,     0.0,     0.0,    28.8,    32.4,    25.6,     4.4,    19.4
Pulau Ubin,2020,8,4,     0.0,     0.0,     0.0,     0.0,    27.4,    30.2,    24.4,     3.9,    35.6
Pulau Ubin,2020,8,5,     0.0,     0.0,     0.0,     0.0,    28.5,    33.3,    25.8,     3.9,    17.6
Pulau Ubin,2020,8,6,     0.0,     0.0,     0.0,     0.0,    28.7,    32.8,    26.3,     3.1,    16.1
Pulau Ubin,2020,8,7,     0.0,     0.0,     0.0,     0.0,    28.9,    34.0,    25.8,     4.0,    18.3
Pulau Ubin,2020,8,8,     0.0,     0.0,     0.0,     0.0,    29.4,    34.4,    26.6,     4.3,    20.2
Pulau Ubin,2020,8,9,     0.0,     0.0,     0.0,     0.0,    29.1,    33.5,    26.3,     3.9,    22.0
Pulau Ubin,2020,8,10,     0.0,     0.0,     0.0,     0.0,    29.4,    34.2,    26.8,     4.6,    20.6
Pulau Ubin,2020,8,11,     0.0,     0.0,     0.0,     0.0,    29.2,    33.5,    27.2,     3.9,    19.1
Pulau Ubin,2020,8,12,     0.6,     0.4,     0.4,     0.6,    26.7,    28.7,    25.0,     3.5,    28.9
Pulau Ubin,2020,8,13,    24.0,    13.0,    17.4,    21.0,    27.7,    33.2,    22.7,     3.6,    21.3
Pulau Ubin,2020,8,14,     5.6,     3.6,     4.2,     4.4,    25.1,    27.2,    23.5,     3.3,    30.9
Pulau Ubin,2020,8,15,     0.0,     0.0,     0.0,     0.0,    27.6,    32.6,    23.9,     3.2,    17.6
Pulau Ubin,2020,8,16,     0.6,     0.6,     0.6,     0.6,    27.5,    32.3,    24.6,     3.3,    22.4
Pulau Ubin,2020,8,17,    53.8,    37.0,    44.0,    47.2,    26.4,    32.3,    22.9,     3.1,    29.8
Pulau Ubin,2020,8,18,     2.6,     1.4,     1.8,     2.6,    26.1,    30.7,    24.4,     3.1,    29.8
Pulau Ubin,2020,8,19,     0.2,     0.2,     0.2,     0.2,    27.3,    32.5,    24.3,     2.8,    19.1
Pulau Ubin,2020,8,20,     1.6,     1.6,     1.6,     1.6,    27.7,    32.6,    24.8,     3.6,    21.3
Pulau Ubin,2020,8,21,     0.0,     0.0,     0.0,     0.0,    29.2,    33.6,    27.1,     4.7,    22.0
Pulau Ubin,2020,8,22,     2.2,     1.2,     1.2,     1.4,    26.7,    32.7,    23.9,     3.0,    30.2
Pulau Ubin,2020,8,23,    22.6,    10.8,    15.2,    19.4,    24.8,    26.7,    22.4,     2.8,    32.0
Pulau Ubin,2020,8,24,     0.2,     0.2,     0.2,     0.2,    27.7,    33.0,    23.7,     3.9,    20.2
Pulau Ubin,2020,8,25,     6.4,     6.2,     6.2,     6.4,    26.9,    31.3,    25.0,     3.6,    20.9
Pulau Ubin,2020,8,26,     0.8,     0.8,     0.8,     0.8,    26.7,    32.4,    24.6,     4.6,    31.3
Pulau Ubin,2020,8,27,     0.0,     0.0,     0.0,     0.0,    27.4,    31.9,    24.3,     3.8,    18.7
Pulau Ubin,2020,8,28,     0.0,     0.0,     0.0,     0.0,    28.2,    33.2,    24.5,     4.0,    22.4
Pulau Ubin,2020,8,29,    27.2,    22.0,    25.0,    25.2,    26.3,    30.1,    24.3,     2.4,    18.3
Pulau Ubin,2020,8,30,     0.2,     0.2,     0.2,     0.2,    28.0,    33.3,    24.8,     3.6,    22.0
Pulau Ubin,2020,8,31,     0.0,     0.0,     0.0,     0.0,    28.5,    33.0,    25.7,     3.9,    22.0
