Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,11,1,     0.0,     0.0,     0.0,     0.0,    26.5,    29.2,    24.8,     2.5,    26.7
Pulau Ubin,2022,11,2,     0.0,     0.0,     0.0,     0.0,    26.9,    31.3,    24.2,     3.2,    18.7
Pulau Ubin,2022,11,3,     0.2,     0.2,     0.2,     0.2,    26.9,    32.4,    24.1,     2.8,    12.2
Pulau Ubin,2022,11,4,     0.2,     0.2,     0.2,     0.2,    28.3,    33.9,    24.3,     3.6,    21.7
Pulau Ubin,2022,11,5,    39.0,    21.2,    26.0,    28.2,    24.7,    27.2,    22.2,     3.1,    30.6
Pulau Ubin,2022,11,6,     2.4,     1.4,     1.8,     2.2,    26.1,    31.8,    24.0,     2.9,    22.4
Pulau Ubin,2022,11,7,    67.6,    53.2,    66.0,    67.2,    26.1,    33.1,    23.1,     3.6,    20.2
Pulau Ubin,2022,11,8,    32.8,    29.8,    31.2,    31.2,    25.4,    32.4,    23.4,     2.9,    23.3
Pulau Ubin,2022,11,9,     0.2,     0.2,     0.2,     0.2,    25.9,    28.3,    24.0,     3.9,    18.0
Pulau Ubin,2022,11,10,    18.6,     3.2,     4.6,     8.4,    26.1,    30.6,    24.3,     3.0,    14.4
Pulau Ubin,2022,11,11,     0.2,     0.2,     0.2,     0.2,    26.8,    32.1,    24.2,     3.1,    18.0
Pulau Ubin,2022,11,12,    30.2,    11.2,    14.8,    16.4,    25.9,    31.9,    23.9,     3.3,    18.3
Pulau Ubin,2022,11,13,     0.0,     0.0,     0.0,     0.0,    26.5,    30.6,    23.8,     2.9,    18.0
Pulau Ubin,2022,11,14,    16.4,     9.0,     9.2,    14.4,    27.1,    31.9,    23.4,     3.3,    22.6
Pulau Ubin,2022,11,15,    13.2,     4.6,     9.2,    12.0,    27.1,    31.6,    23.1,     5.0,    35.2
Pulau Ubin,2022,11,16,     8.8,     3.8,     3.8,     4.2,    26.7,    33.4,    23.8,     3.5,    27.0
Pulau Ubin,2022,11,17,     0.2,     0.2,     0.2,     0.2,    27.1,    31.8,    24.0,     2.8,    16.9
Pulau Ubin,2022,11,18,     0.0,     0.0,     0.0,     0.0,    27.7,    32.1,    25.0,     3.9,    25.9
Pulau Ubin,2022,11,19,     6.8,     2.4,     3.8,     4.8,    25.5,    27.1,    23.0,     3.7,    28.9
Pulau Ubin,2022,11,20,     0.0,     0.0,     0.0,     0.0,    27.5,    31.9,    23.8,     5.8,    26.7
Pulau Ubin,2022,11,21,     6.2,     5.6,     6.2,     6.2,    27.8,    33.4,    22.6,     5.4,    33.9
Pulau Ubin,2022,11,22,     0.2,     0.2,     0.2,     0.2,    28.9,    33.1,    25.1,     5.4,    28.2
Pulau Ubin,2022,11,23,     3.0,     2.4,     2.8,     2.8,    26.4,    30.0,    23.4,     3.7,    35.0
Pulau Ubin,2022,11,24,    13.8,    12.2,    13.8,    13.8,    28.1,    34.2,    23.3,     4.0,    29.4
Pulau Ubin,2022,11,25,    16.6,    14.8,    26.8,    29.0,    27.0,    31.2,    23.5,     3.8,    24.4
Pulau Ubin,2022,11,26,     0.0,     0.0,     0.0,     0.0,    27.0,    32.7,    23.9,     3.1,    16.5
Pulau Ubin,2022,11,27,     2.2,     1.2,     1.6,     2.2,    25.5,    29.1,    23.6,     2.4,    22.4
Pulau Ubin,2022,11,28,     5.2,     3.8,     3.8,     3.8,    26.5,    32.7,    23.9,     3.0,    24.1
Pulau Ubin,2022,11,29,     3.0,     1.4,     2.8,     2.8,    26.5,    32.0,    24.2,     3.3,    20.9
Pulau Ubin,2022,11,30,    86.4,    41.8,    59.6,    84.4,    26.3,    33.3,    22.5,     3.4,    33.2
