Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,11,1,    10.4,     8.6,     9.8,    10.0,    26.1,    30.9,    24.4,     3.3,    19.4
Pulau Ubin,2021,11,2,     7.8,     2.6,     3.0,     3.8,    25.8,    31.9,    23.9,     3.6,    22.0
Pulau Ubin,2021,11,3,     2.0,     0.4,     0.8,     1.2,    26.4,    31.8,    24.0,     3.4,    16.9
Pulau Ubin,2021,11,4,    45.4,    35.2,    44.0,    45.0,    26.5,    32.7,    23.4,     3.3,    25.9
Pulau Ubin,2021,11,5,    10.8,     7.0,     7.0,     7.6,    25.8,    32.3,    23.8,     3.1,    20.6
Pulau Ubin,2021,11,6,     3.8,     2.2,     2.4,     3.6,    27.4,    33.0,    24.3,     2.7,    15.6
Pulau Ubin,2021,11,7,     8.4,     7.0,     7.2,     7.4,    26.6,    30.5,    23.5,     2.8,    35.9
Pulau Ubin,2021,11,8,     0.6,     0.2,     0.4,     0.6,    26.7,    29.5,    25.1,     2.4,    18.3
Pulau Ubin,2021,11,9,    10.2,     6.8,     8.2,     9.8,    26.6,    34.3,    23.9,     3.2,    20.6
Pulau Ubin,2021,11,10,    14.6,     3.2,     6.0,     8.6,    25.4,    28.5,    23.7,     4.1,    28.5
Pulau Ubin,2021,11,11,     1.2,     0.6,     0.8,     1.0,-,-,-,-,-
Pulau Ubin,2021,11,12,     1.8,     1.0,     1.2,     1.6,    27.2,    31.8,    22.6,     4.8,    36.7
Pulau Ubin,2021,11,13,     0.6,     0.4,     0.4,     0.4,    26.4,    29.9,    23.6,     3.5,    23.3
Pulau Ubin,2021,11,14,     0.2,     0.2,     0.2,     0.2,    27.9,    33.8,    25.3,     3.3,    19.1
Pulau Ubin,2021,11,15,     3.4,     2.8,     3.2,     3.4,    26.6,    32.1,    24.9,     2.5,    13.7
Pulau Ubin,2021,11,16,     0.0,     0.0,     0.0,     0.0,    27.8,    33.8,    24.4,     2.9,    17.6
Pulau Ubin,2021,11,17,     2.2,     1.0,     1.2,     1.2,    27.2,    32.4,    25.0,     3.4,    28.5
Pulau Ubin,2021,11,18,    11.2,     5.8,     8.2,    11.0,    26.5,    30.7,    23.8,     3.0,    21.7
Pulau Ubin,2021,11,19,     3.2,     2.4,     3.0,     3.2,    27.1,    31.3,    24.6,     2.7,    22.0
Pulau Ubin,2021,11,20,     6.0,     3.0,     4.0,     4.6,    25.9,    29.4,    23.2,     2.8,    27.4
Pulau Ubin,2021,11,21,    28.8,    25.0,    28.0,    28.4,    26.4,    33.1,    22.1,     3.3,    41.5
Pulau Ubin,2021,11,22,     0.2,     0.2,     0.2,     0.2,    27.5,    32.7,    24.4,     3.4,    16.1
Pulau Ubin,2021,11,23,     6.6,     4.2,     5.0,     5.6,    25.9,    32.3,    24.1,     2.9,    20.6
Pulau Ubin,2021,11,24,    30.6,    16.4,    24.4,    26.6,    25.0,    27.1,    23.3,     2.4,    15.7
Pulau Ubin,2021,11,25,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Pulau Ubin,2021,11,26,     0.0,     0.0,     0.0,     0.0,    27.4,    32.3,    24.4,     4.2,    22.0
Pulau Ubin,2021,11,27,     6.6,     2.0,     2.4,     4.2,    27.0,    32.6,    24.2,     3.6,    19.1
Pulau Ubin,2021,11,28,     0.2,     0.2,     0.2,     0.2,    27.7,    32.5,    24.4,     3.7,    19.8
Pulau Ubin,2021,11,29,     0.0,     0.0,     0.0,     0.0,    28.8,    33.2,    25.6,     5.4,    29.1
Pulau Ubin,2021,11,30,     0.0,     0.0,     0.0,     0.0,    28.8,    34.3,    25.1,     3.6,    21.3
