Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,9,1,     0.4,     0.4,     0.4,     0.4,    27.8,    33.0,    24.9,     4.7,    27.0
Pulau Ubin,2021,9,2,    97.6,    41.2,    72.0,    87.2,    24.8,    27.4,    22.8,     3.5,    35.6
Pulau Ubin,2021,9,3,     0.0,     0.0,     0.0,     0.0,    27.3,    32.7,    24.2,     3.1,    18.3
Pulau Ubin,2021,9,4,     3.8,     3.8,     3.8,     3.8,    27.7,    33.2,    24.5,     3.6,    19.8
Pulau Ubin,2021,9,5,     0.0,     0.0,     0.0,     0.0,    28.0,    32.9,    25.2,     3.6,    20.9
Pulau Ubin,2021,9,6,    30.6,    27.4,    30.4,    30.4,    27.0,    33.3,    23.3,     3.1,    24.1
Pulau Ubin,2021,9,7,     0.0,     0.0,     0.0,     0.0,    27.5,    32.2,    25.0,     3.8,    24.4
Pulau Ubin,2021,9,8,     2.6,     2.2,     2.4,     2.4,    27.3,    32.1,    22.5,     5.0,    26.7
Pulau Ubin,2021,9,9,     0.0,     0.0,     0.0,     0.0,    28.3,    33.4,    24.9,     3.9,    19.4
Pulau Ubin,2021,9,10,    20.2,    13.4,    18.6,    20.2,    26.7,    31.0,    22.8,     3.9,    25.6
Pulau Ubin,2021,9,11,     1.8,     1.2,     1.8,     1.8,    27.1,    31.7,    24.2,     2.8,    19.1
Pulau Ubin,2021,9,12,    17.8,    17.6,    17.8,    17.8,    27.2,    33.5,    24.5,     2.6,    16.9
Pulau Ubin,2021,9,13,     5.6,     4.4,     5.2,     5.2,    25.7,    28.9,    24.1,     3.4,    28.5
Pulau Ubin,2021,9,14,     0.0,     0.0,     0.0,     0.0,    27.3,    30.7,    25.2,     2.6,    14.8
Pulau Ubin,2021,9,15,     0.0,     0.0,     0.0,     0.0,    28.1,    33.0,    24.8,     3.7,    24.1
Pulau Ubin,2021,9,16,     0.0,     0.0,     0.0,     0.0,    28.2,    33.0,    25.1,     3.7,    23.3
Pulau Ubin,2021,9,17,     0.0,     0.0,     0.0,     0.0,    28.7,    33.8,    25.0,     4.1,    23.7
Pulau Ubin,2021,9,18,     0.0,     0.0,     0.0,     0.0,    28.2,    33.1,    25.2,     3.5,    23.3
Pulau Ubin,2021,9,19,    23.6,    21.8,    23.4,    23.4,    26.5,    29.0,    24.2,     3.2,    26.7
Pulau Ubin,2021,9,20,     0.0,     0.0,     0.0,     0.0,    28.3,    33.3,    24.8,     4.1,    23.7
Pulau Ubin,2021,9,21,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.6,     3.3,    22.4
Pulau Ubin,2021,9,22,     0.6,     0.6,     0.6,     0.6,    28.0,    33.1,    23.7,     3.4,    28.2
Pulau Ubin,2021,9,23,     5.0,     3.2,     4.0,     5.0,    28.1,    32.5,    23.8,     3.9,    29.8
Pulau Ubin,2021,9,24,     0.0,     0.0,     0.0,     0.0,    27.8,    33.4,    25.3,     3.0,    19.8
Pulau Ubin,2021,9,25,     0.0,     0.0,     0.0,     0.0,    28.0,    34.0,    25.3,     3.4,    23.7
Pulau Ubin,2021,9,26,    35.4,    26.0,    26.2,    27.6,    28.0,    32.9,    23.8,     3.7,    24.1
Pulau Ubin,2021,9,27,    46.4,    15.2,    28.8,    44.6,    26.0,    32.2,    23.6,     3.2,    19.1
Pulau Ubin,2021,9,28,    33.8,    22.8,    32.6,    33.6,    26.3,    31.8,    23.5,     2.9,    21.7
Pulau Ubin,2021,9,29,     0.8,     0.6,     0.6,     0.6,    27.3,    32.6,    23.9,     2.9,    18.3
Pulau Ubin,2021,9,30,    30.0,    14.8,    20.6,    23.8,    25.3,    26.5,    24.3,     3.1,    21.3
