Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2023,9,1,     1.2,     1.2,     1.2,     1.2,    28.2,    32.6,    25.6,     4.0,    24.4
Pulau Ubin,2023,9,2,     0.0,     0.0,     0.0,     0.0,    28.8,    34.1,    24.7,     3.7,    20.9
Pulau Ubin,2023,9,3,     0.0,     0.0,     0.0,     0.0,    28.7,    32.9,    26.4,     5.1,    22.6
Pulau Ubin,2023,9,4,     0.0,     0.0,     0.0,     0.0,    29.0,    32.4,    27.1,     6.1,    27.0
Pulau Ubin,2023,9,5,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    27.2,     4.7,    23.7
Pulau Ubin,2023,9,6,    12.0,     4.6,     7.2,     8.8,    26.6,    31.1,    23.7,     3.2,    23.0
Pulau Ubin,2023,9,7,     0.4,     0.2,     0.4,     1.2,    27.8,    33.8,    24.1,     2.9,    16.1
Pulau Ubin,2023,9,8,     0.2,     0.2,     0.2,     0.2,    29.2,    33.4,    26.6,     4.1,    20.6
Pulau Ubin,2023,9,9,     4.4,     4.4,     4.4,     4.4,    27.5,    31.0,    25.2,     3.1,    16.9
Pulau Ubin,2023,9,10,     1.6,     0.8,     0.8,     0.8,    26.4,    32.7,    24.3,     3.0,    23.3
Pulau Ubin,2023,9,11,     0.0,     0.0,     0.0,     0.0,    27.5,    32.3,    24.6,     4.2,    27.0
Pulau Ubin,2023,9,12,     0.0,     0.0,     0.0,     0.0,    28.1,    32.2,    25.5,     3.5,    23.0
Pulau Ubin,2023,9,13,     0.0,     0.0,     0.0,     0.0,    28.9,    33.5,    26.0,     3.5,    20.6
Pulau Ubin,2023,9,14,     0.0,     0.0,     0.0,     0.0,    28.9,    32.7,    25.6,     4.7,    28.2
Pulau Ubin,2023,9,15,     0.0,     0.0,     0.0,     0.0,    29.0,    33.4,    25.5,     4.7,    25.6
Pulau Ubin,2023,9,16,     0.0,     0.0,     0.0,     0.0,    29.4,    33.4,    26.6,     4.7,    24.4
Pulau Ubin,2023,9,17,     0.0,     0.0,     0.0,     0.0,    28.8,    33.6,    26.1,     4.2,    26.7
Pulau Ubin,2023,9,18,     2.2,     1.8,     2.0,     2.0,    28.0,    32.6,    24.0,     3.3,    25.2
Pulau Ubin,2023,9,19,     0.0,     0.0,     0.0,     0.0,    28.4,    33.8,    25.7,     3.5,    21.3
Pulau Ubin,2023,9,20,    66.8,    48.6,    63.6,    66.6,    26.9,    32.6,    23.6,     3.1,    18.3
Pulau Ubin,2023,9,21,     3.2,     1.6,     1.6,     1.6,    27.4,    34.0,    24.6,     3.9,    34.6
Pulau Ubin,2023,9,22,     4.0,     2.0,     2.0,     3.2,    26.1,    30.3,    25.0,     3.6,    22.6
Pulau Ubin,2023,9,23,     0.2,     0.2,     0.2,     0.2,    27.6,    32.2,    24.9,     2.7,    17.2
Pulau Ubin,2023,9,24,    46.6,    26.0,    34.8,    44.8,    26.0,    29.3,    23.6,     2.7,    27.4
Pulau Ubin,2023,9,25,     0.0,     0.0,     0.0,     0.0,    27.7,    33.7,    24.2,     3.2,    18.0
Pulau Ubin,2023,9,26,     0.6,     0.6,     0.6,     0.6,    28.3,    33.1,    25.2,     4.3,    24.8
Pulau Ubin,2023,9,27,     0.0,     0.0,     0.0,     0.0,    29.0,    33.8,    25.3,     4.8,    25.2
Pulau Ubin,2023,9,28,     0.0,     0.0,     0.0,     0.0,    29.1,    33.3,    26.4,     4.5,    19.4
Pulau Ubin,2023,9,29,     0.0,     0.0,     0.0,     0.0,    28.5,    33.5,    25.5,     3.0,    25.2
Pulau Ubin,2023,9,30,     0.2,     0.2,     0.2,     0.2,    27.4,    32.5,    25.8,     3.0,    23.0
