Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,4,1,     0.0,     0.0,     0.0,     0.0,    28.6,    33.8,    24.6,     3.8,    19.4
Pulau Ubin,2020,4,2,    30.8,    17.6,    23.8,    30.0,    27.5,    33.8,    24.3,     3.3,    28.9
Pulau Ubin,2020,4,3,    32.8,    30.8,    32.4,    32.8,    27.6,    32.5,    24.2,     4.2,    27.4
Pulau Ubin,2020,4,4,     0.0,     0.0,     0.0,     0.0,    28.8,    33.6,    25.3,     4.8,    24.1
Pulau Ubin,2020,4,5,     0.0,     0.0,     0.0,     0.0,    28.0,    33.5,    25.3,     3.1,    26.3
Pulau Ubin,2020,4,6,     0.0,     0.0,     0.0,     0.0,    28.0,    32.1,    25.7,     3.2,    16.1
Pulau Ubin,2020,4,7,    12.0,     5.4,     7.8,     9.0,    27.1,    32.4,    23.5,     3.3,    24.1
Pulau Ubin,2020,4,8,    22.2,    20.0,    22.2,    22.2,    27.3,    33.3,    22.9,     3.5,    38.9
Pulau Ubin,2020,4,9,     0.0,     0.0,     0.0,     0.0,    28.0,    33.2,    24.2,     4.4,    21.3
Pulau Ubin,2020,4,10,     0.0,     0.0,     0.0,     0.0,    28.1,    33.7,    24.0,     3.7,    19.4
Pulau Ubin,2020,4,11,     0.0,     0.0,     0.0,     0.0,    28.0,    33.2,    25.1,     2.9,    20.9
Pulau Ubin,2020,4,12,     0.0,     0.0,     0.0,     0.0,    27.8,    32.8,    25.1,     2.8,    18.3
Pulau Ubin,2020,4,13,     0.0,     0.0,     0.0,     0.0,    28.5,    33.4,    26.0,     3.6,    24.1
Pulau Ubin,2020,4,14,     0.0,     0.0,     0.0,     0.0,    28.8,    32.8,    25.8,     5.4,    23.0
Pulau Ubin,2020,4,15,     1.0,     1.0,     1.0,     1.0,    28.2,    33.6,    24.9,     3.8,    24.4
Pulau Ubin,2020,4,16,     0.0,     0.0,     0.0,     0.0,    28.7,    33.6,    25.2,     4.3,    23.3
Pulau Ubin,2020,4,17,     0.0,     0.0,     0.0,     0.0,    28.8,    33.2,    25.3,     4.1,    18.3
Pulau Ubin,2020,4,18,     0.0,     0.0,     0.0,     0.0,    28.7,    34.0,    24.7,     3.9,    18.7
Pulau Ubin,2020,4,19,     0.0,     0.0,     0.0,     0.0,    29.7,    34.9,    25.4,     3.9,    18.3
Pulau Ubin,2020,4,20,     0.0,     0.0,     0.0,     0.0,    29.6,    34.5,    25.6,     4.5,    21.7
Pulau Ubin,2020,4,21,    13.8,     6.6,     7.0,     7.8,    27.8,    33.8,    25.2,     2.8,    21.3
Pulau Ubin,2020,4,22,     1.0,     0.6,     1.2,     1.2,    28.8,    34.7,    25.8,     3.4,    20.6
Pulau Ubin,2020,4,23,     2.8,     2.0,     2.8,     2.8,    27.8,    32.7,    25.0,     3.4,    21.7
Pulau Ubin,2020,4,24,    18.8,    14.6,    15.4,    18.2,    26.9,    32.8,    24.0,     3.4,    27.4
Pulau Ubin,2020,4,25,    20.2,    10.8,    10.8,    10.8,    26.5,    32.4,    24.1,     2.8,    16.1
Pulau Ubin,2020,4,26,     0.4,     0.2,     0.2,     0.2,    27.2,    32.7,    25.2,     3.2,    29.1
Pulau Ubin,2020,4,27,     4.4,     4.2,     4.4,     4.4,    27.1,    30.8,    24.9,     3.7,    21.3
Pulau Ubin,2020,4,28,-,     0.0,     0.0,     0.0,    28.0,    32.8,    25.4,     3.7,    16.1
Pulau Ubin,2020,4,29,     1.0,     0.8,     1.0,     1.0,    28.6,    33.4,    25.5,     3.7,    22.6
Pulau Ubin,2020,4,30,    16.2,    10.8,    11.8,    12.0,    27.0,    31.7,    25.2,     2.5,    15.2
