Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,8,1,     6.8,     4.6,     5.8,     6.4,    26.7,    32.0,    23.5,     2.6,    34.3
Pulau Ubin,2021,8,2,     1.5,     1.5,     1.5,     1.5,    27.0,    33.1,    24.5,     2.7,    21.7
Pulau Ubin,2021,8,3,    11.0,     9.0,    11.0,    11.0,    27.4,    33.2,    21.9,     3.3,    29.1
Pulau Ubin,2021,8,4,     3.0,     2.5,     2.5,     3.0,    26.4,    28.9,    23.5,     4.1,    39.6
Pulau Ubin,2021,8,5,     0.0,     0.0,     0.0,     0.0,    28.5,    32.9,    25.1,     3.9,    22.4
Pulau Ubin,2021,8,6,     0.0,     0.0,     0.0,     0.0,    27.6,    32.8,    24.8,     3.6,    24.1
Pulau Ubin,2021,8,7,     0.0,     0.0,     0.0,     0.0,    27.9,    33.2,    25.5,     3.9,    30.2
Pulau Ubin,2021,8,8,     5.4,     4.2,     5.2,     5.2,    26.7,    33.2,    23.8,     3.3,    22.6
Pulau Ubin,2021,8,9,     0.6,     0.4,     0.4,     0.4,    28.0,    34.2,    23.6,     3.6,    16.1
Pulau Ubin,2021,8,10,     0.0,     0.0,     0.0,     0.0,    28.7,    33.7,    25.5,     3.8,    21.3
Pulau Ubin,2021,8,11,     0.6,     0.6,     0.6,     0.6,    28.1,    32.8,    25.8,     3.4,    22.4
Pulau Ubin,2021,8,12,     1.8,     1.2,     1.8,     1.8,    27.7,    32.6,    25.5,     3.3,    21.3
Pulau Ubin,2021,8,13,     0.0,     0.0,     0.0,     0.0,    27.4,    32.3,    25.1,     2.8,    26.3
Pulau Ubin,2021,8,14,    13.2,    12.2,    12.4,    12.4,    26.6,    32.7,    24.0,     2.5,    22.0
Pulau Ubin,2021,8,15,     3.2,     1.6,     2.0,     2.8,    27.4,    32.7,    24.3,     3.8,    32.4
Pulau Ubin,2021,8,16,     0.4,     0.2,     0.6,     1.4,    27.3,    32.5,    24.0,     3.4,    17.2
Pulau Ubin,2021,8,17,     8.4,     2.4,     4.0,     5.6,    26.0,    31.0,    24.2,     3.0,    17.2
Pulau Ubin,2021,8,18,     1.2,     0.4,     0.6,     1.0,    25.5,    27.5,    24.2,     3.0,    18.0
Pulau Ubin,2021,8,19,    19.0,     2.8,     5.0,     9.6,    26.6,    31.6,    23.2,     6.0,    27.4
Pulau Ubin,2021,8,20,    94.6,    29.4,    49.6,    75.4,    24.7,    26.8,    21.9,     2.5,    18.7
Pulau Ubin,2021,8,21,     0.4,     0.2,     0.2,     0.4,    26.8,    30.4,    24.4,     3.2,    16.5
Pulau Ubin,2021,8,22,    30.0,    21.6,    26.6,    29.2,    25.9,    31.6,    22.8,     2.8,    22.4
Pulau Ubin,2021,8,23,     0.0,     0.0,     0.0,     0.0,    26.9,    32.3,    24.1,     3.6,    17.6
Pulau Ubin,2021,8,24,    32.8,    16.2,    23.2,    26.0,    24.9,    26.5,    23.2,     2.5,    19.4
Pulau Ubin,2021,8,25,     1.6,     1.6,     1.6,     1.6,    25.4,    27.7,    23.7,     3.5,    22.4
Pulau Ubin,2021,8,26,    18.2,    16.2,    17.6,    18.2,    26.4,    31.8,    23.7,-,    39.6
Pulau Ubin,2021,8,27,     3.6,     2.0,     2.0,     2.0,    27.1,    32.2,    24.1,     4.1,    26.7
Pulau Ubin,2021,8,28,     0.0,     0.0,     0.0,     0.0,    28.4,    33.3,    25.7,     3.7,    22.0
Pulau Ubin,2021,8,29,    19.2,    12.4,    12.6,    13.0,    26.0,    32.7,    23.2,     3.8,    25.9
Pulau Ubin,2021,8,30,    66.2,    26.2,    40.2,    61.0,    25.3,    28.8,    22.5,     3.2,    18.7
Pulau Ubin,2021,8,31,     5.8,     2.2,     3.4,     4.0,    26.4,    31.3,    24.0,     2.5,    15.2
