Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2020,11,1,     0.0,     0.0,     0.2,     0.2,    27.4,    33.2,    24.2,     4.8,    22.6
Pulau Ubin,2020,11,2,    21.2,     8.0,     8.0,    13.6,    26.1,    32.2,    24.1,     3.3,    24.4
Pulau Ubin,2020,11,3,     0.0,     0.0,     0.0,     0.0,    27.1,    30.7,    24.7,     2.5,    12.2
Pulau Ubin,2020,11,4,    50.4,    31.2,    41.2,    45.4,    24.9,    26.8,    23.3,     2.6,    37.0
Pulau Ubin,2020,11,5,     0.0,     0.0,     0.0,     0.0,    27.5,    32.9,    23.9,     2.8,    15.7
Pulau Ubin,2020,11,6,     0.0,     0.0,     0.0,     0.0,    28.2,    33.9,    25.2,     2.7,    18.0
Pulau Ubin,2020,11,7,    25.6,     9.4,    13.6,    18.0,    25.1,    27.1,    23.9,     3.1,    28.2
Pulau Ubin,2020,11,8,     2.2,     1.0,     1.8,     2.0,    25.6,    29.8,    23.8,     3.4,    27.4
Pulau Ubin,2020,11,9,     0.0,     0.0,     0.0,     0.0,    26.3,    31.3,    24.6,     3.1,    20.2
Pulau Ubin,2020,11,10,    15.4,    11.8,    11.8,    14.0,    25.8,    29.3,    23.7,     2.2,    18.0
Pulau Ubin,2020,11,11,     0.0,     0.0,     0.0,     0.0,    27.8,    32.4,    24.0,     3.1,    19.4
Pulau Ubin,2020,11,12,     0.0,     0.0,     0.0,     0.0,    29.1,    33.7,    25.7,     4.2,    18.7
Pulau Ubin,2020,11,13,     0.0,     0.0,     0.0,     0.0,    28.4,    33.3,    25.1,     4.3,    21.3
Pulau Ubin,2020,11,14,     2.2,     1.4,     2.0,     2.2,    27.6,    32.6,    25.1,     3.6,    18.3
Pulau Ubin,2020,11,15,    16.8,     5.8,     5.8,     6.2,    27.0,    32.8,    24.2,     4.3,    26.3
Pulau Ubin,2020,11,16,     6.8,     2.2,     3.0,     4.6,    27.5,    31.8,    24.6,     5.5,    22.4
Pulau Ubin,2020,11,17,     9.8,     5.8,     8.2,     9.4,    26.5,    32.3,    24.7,     3.4,    20.9
Pulau Ubin,2020,11,18,     0.0,     0.0,     0.0,     0.0,    28.0,    33.8,    24.3,     3.1,    18.3
Pulau Ubin,2020,11,19,     6.0,     4.0,     4.2,     4.2,    26.6,    30.5,    24.6,     2.4,    14.4
Pulau Ubin,2020,11,20,     1.0,     0.6,     0.8,     0.8,    27.0,    33.3,    25.0,     3.0,    19.8
Pulau Ubin,2020,11,21,    11.8,     5.4,     6.0,     6.2,    26.3,    32.5,    24.2,     3.8,    25.2
Pulau Ubin,2020,11,22,    27.4,    12.8,    21.6,    26.2,    25.6,    32.1,    23.4,     3.2,    34.3
Pulau Ubin,2020,11,23,     1.6,     1.0,     1.0,     1.0,    25.8,    29.6,    24.3,     3.2,    23.7
Pulau Ubin,2020,11,24,     0.4,     0.2,     0.2,     0.2,    25.5,    27.8,    24.1,     2.5,    13.7
Pulau Ubin,2020,11,25,     0.0,     0.0,     0.0,     0.0,    26.3,    29.9,    24.5,     4.1,    15.2
Pulau Ubin,2020,11,26,     2.4,     0.6,     1.0,     1.6,    25.8,    28.2,    24.3,     2.3,    12.6
Pulau Ubin,2020,11,27,     0.0,     0.0,     0.0,     0.0,    26.9,    30.7,    24.6,     3.1,    15.2
Pulau Ubin,2020,11,28,    23.8,    19.2,    21.4,    23.0,    25.9,    29.2,    22.3,     2.6,    31.7
Pulau Ubin,2020,11,29,     0.0,     0.0,     0.0,     0.0,    27.3,    31.3,    24.8,     3.9,    15.7
Pulau Ubin,2020,11,30,-,-,-,-,-,-,-,-,-
