Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2022,7,1,     0.0,     0.0,     0.0,     0.0,    28.2,    33.3,    24.9,     4.1,    22.4
Pulau Ubin,2022,7,2,     0.2,     0.2,     0.2,     0.2,    28.1,    32.9,    25.1,     3.9,    27.4
Pulau Ubin,2022,7,3,     0.0,     0.0,     0.0,     0.0,    28.4,    33.6,    25.2,     3.2,    18.0
Pulau Ubin,2022,7,4,    16.4,    13.4,    14.2,    15.6,    27.4,    33.7,    23.7,     3.0,    33.9
Pulau Ubin,2022,7,5,     5.0,     4.4,     4.6,     4.6,    26.0,    31.9,    24.3,     2.7,    29.4
Pulau Ubin,2022,7,6,     0.0,     0.0,     0.0,     0.2,    27.8,    31.6,    25.2,     2.5,    16.1
Pulau Ubin,2022,7,7,     0.0,     0.0,     0.0,     0.0,    28.9,    33.6,    25.1,     3.4,    18.7
Pulau Ubin,2022,7,8,    10.2,     5.0,     7.6,    10.0,    27.5,    32.1,    23.9,     3.6,    31.3
Pulau Ubin,2022,7,9,     0.0,     0.0,     0.0,     0.0,    28.6,    33.5,    25.7,     3.4,    20.2
Pulau Ubin,2022,7,10,    13.2,    11.2,    13.0,    13.2,    26.5,    31.1,    23.6,     2.8,    30.9
Pulau Ubin,2022,7,11,     0.0,     0.0,     0.0,     0.0,    27.8,    32.7,    24.6,     3.5,    19.8
Pulau Ubin,2022,7,12,     0.0,     0.0,     0.0,     0.0,    28.3,    32.7,    25.6,     3.2,    18.7
Pulau Ubin,2022,7,13,     0.0,     0.0,     0.0,     0.0,    28.0,    32.3,    25.2,     3.0,    20.9
Pulau Ubin,2022,7,14,    16.6,    13.4,    15.4,    16.6,    27.6,    33.0,    24.5,     2.9,    20.2
Pulau Ubin,2022,7,15,     3.8,     3.0,     3.6,     3.8,    27.6,    32.9,    24.6,     3.4,    27.8
Pulau Ubin,2022,7,16,     0.0,     0.0,     0.0,     0.0,    28.8,    33.1,    25.7,     4.5,    20.2
Pulau Ubin,2022,7,17,     0.0,     0.0,     0.0,     0.0,    29.6,    33.5,    27.5,     4.3,    19.4
Pulau Ubin,2022,7,18,     0.0,     0.0,     0.0,     0.0,    29.3,    33.4,    26.5,     3.8,    18.7
Pulau Ubin,2022,7,19,     0.0,     0.0,     0.0,     0.0,    29.3,    33.5,    27.0,     4.7,    22.0
Pulau Ubin,2022,7,20,    24.0,    16.6,    18.6,    19.6,    26.2,    30.1,    22.2,     3.1,    48.9
Pulau Ubin,2022,7,21,     0.0,     0.0,     0.0,     0.0,    27.7,    33.2,    24.8,     3.2,    20.9
Pulau Ubin,2022,7,22,     4.6,     4.2,     4.6,     4.6,    27.0,    32.1,    24.5,     3.0,    18.0
Pulau Ubin,2022,7,23,     0.0,     0.0,     0.0,     0.0,    27.4,    32.8,    25.2,     2.8,    23.7
Pulau Ubin,2022,7,24,    41.0,    34.2,    37.6,    37.6,    26.4,    31.7,    23.3,     2.9,    28.5
Pulau Ubin,2022,7,25,     2.0,     0.8,     0.8,     1.2,    26.3,    30.9,    24.1,     3.0,    18.3
Pulau Ubin,2022,7,26,     1.8,     0.8,     1.2,     1.8,    26.4,    29.5,    24.3,     3.3,    27.4
Pulau Ubin,2022,7,27,     0.0,     0.0,     0.0,     0.0,    28.5,    33.0,    25.1,     4.2,    24.8
Pulau Ubin,2022,7,28,     7.0,     3.6,     3.6,     6.2,    28.4,    32.6,    25.6,     4.0,    31.7
Pulau Ubin,2022,7,29,     3.8,     2.6,     2.8,     2.8,    27.2,    32.4,    23.6,     3.5,    37.0
Pulau Ubin,2022,7,30,     0.0,     0.0,     0.0,     0.2,    27.8,    33.0,    24.0,     4.4,    22.4
Pulau Ubin,2022,7,31,     9.6,     9.4,     9.6,     9.6,    27.7,    32.6,    24.7,     3.6,    28.5
