Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pulau Ubin,2021,6,1,     0.0,     0.0,     0.0,     0.0,    28.5,    32.9,    26.4,     2.7,    28.9
Pulau Ubin,2021,6,2,-,-,-,-,-,-,-,-,-
Pulau Ubin,2021,6,3,     5.4,     5.0,     5.0,     5.2,    28.7,    33.7,    25.9,     3.2,    24.1
Pulau Ubin,2021,6,4,     0.0,     0.0,     0.0,     5.0,    29.1,    34.2,    26.1,     3.3,    21.7
Pulau Ubin,2021,6,5,     1.8,     1.8,     1.8,     1.8,-,-,-,-,-
Pulau Ubin,2021,6,6,     0.0,     0.0,     0.0,     0.0,    29.1,    34.0,    25.3,     3.7,    20.2
Pulau Ubin,2021,6,7,     0.0,     0.0,     0.0,     0.0,    28.6,    33.1,    26.0,     4.0,    23.3
Pulau Ubin,2021,6,8,     0.0,     0.0,     0.0,     0.0,    28.5,    33.7,    24.9,     3.4,    21.7
Pulau Ubin,2021,6,9,    13.6,    13.4,    13.4,    13.4,    27.8,    32.0,    24.6,     2.7,    21.3
Pulau Ubin,2021,6,10,     1.8,     1.0,     1.0,     1.0,    27.3,    33.4,    24.2,     3.6,    23.7
Pulau Ubin,2021,6,11,     0.0,     0.0,     0.2,     0.2,    27.7,    31.8,    24.4,     3.4,    14.4
Pulau Ubin,2021,6,12,     3.2,     2.8,     3.0,     3.2,    28.2,    33.3,    24.2,     3.6,    26.7
Pulau Ubin,2021,6,13,     3.0,     2.0,     2.8,     3.0,    27.6,    32.5,    23.0,     3.9,    21.3
Pulau Ubin,2021,6,14,     0.0,     0.0,     0.0,     0.0,    28.3,    34.3,    25.3,     3.1,    22.4
Pulau Ubin,2021,6,15,     6.4,     5.6,     6.4,     6.4,    27.1,    33.8,    24.3,     3.4,    33.5
Pulau Ubin,2021,6,16,     0.0,     0.0,     0.0,     0.0,    27.4,    32.7,    24.1,     2.9,    21.3
Pulau Ubin,2021,6,17,     0.0,     0.0,     0.0,     0.0,    28.5,    33.9,    25.4,     3.6,    19.8
Pulau Ubin,2021,6,18,    11.6,     2.2,     3.6,     5.4,    26.0,    29.9,    23.4,     2.5,    19.8
Pulau Ubin,2021,6,19,     0.0,     0.0,     0.0,     0.0,    27.3,    31.9,    24.5,     2.1,    12.2
Pulau Ubin,2021,6,20,     5.2,     4.2,     4.2,     4.4,    26.7,    32.8,    23.4,     3.3,    19.4
Pulau Ubin,2021,6,21,     0.2,     0.2,     0.2,     0.2,    28.1,    33.8,    23.8,     3.2,    17.6
Pulau Ubin,2021,6,22,     4.4,     4.4,     4.4,     4.4,    27.3,    32.3,    24.2,     3.4,    27.4
Pulau Ubin,2021,6,23,     0.6,     0.6,     0.6,     0.6,    28.4,    33.9,    24.0,     4.2,    24.8
Pulau Ubin,2021,6,24,     8.8,     4.4,     4.8,     7.2,    27.3,    33.2,    24.3,     3.1,    20.6
Pulau Ubin,2021,6,25,-,-,-,-,-,-,-,-,-
Pulau Ubin,2021,6,26,    21.8,    20.8,    21.6,    21.6,-,-,-,-,-
Pulau Ubin,2021,6,27,     0.6,     0.2,     0.4,     0.4,    26.4,    29.5,    25.2,     2.6,    15.2
Pulau Ubin,2021,6,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Pulau Ubin,2021,6,29,    17.2,     9.4,     9.8,     9.8,    26.9,    30.7,    23.6,     3.9,    22.6
Pulau Ubin,2021,6,30,     0.0,     0.0,     0.0,     1.6,-,-,-,-,-
